model,modal,lr,hidden_dim,seed,label_col,best_epoch,val_auc,test_auc,ap,f1_best,canonical
MLP,M11,0.001,64,42,fraud_v08_strict,20,0.788091906004609,0.7092542423322946,0.175771911857094,0.2574558733541043,False
GCN,M11,0.001,64,42,fraud_v08_strict,10,0.7777239128221126,0.698312960922367,0.14451922051066105,0.23468803658705162,False
GAT,M11,0.001,64,42,fraud_v08_strict,5,0.782130845476669,0.7166516034093033,0.18146915470656502,0.2631745029490608,False
SAGE,M11,0.001,64,42,fraud_v08_strict,10,0.7854836944225414,0.7120046592127248,0.17647984390246302,0.2644376899248935,False
RGCN,M11,0.001,64,42,fraud_v08_strict,5,0.7584896729435316,0.6867008197539441,0.15138965522273515,0.24584929752455187,False
MLP,M11,0.001,128,42,fraud_v08_strict,10,0.7818114217247474,0.7089287104520874,0.1718248016784057,0.25764048631291825,False
GCN,M11,0.001,128,42,fraud_v08_strict,10,0.7855905113685218,0.7013631041855061,0.1483431726124112,0.2404901710043888,False
GAT,M11,0.001,128,42,fraud_v08_strict,15,0.7818580807753267,0.7102194220034348,0.1783311719093421,0.25700615169339475,False
SAGE,M11,0.001,128,42,fraud_v08_strict,5,0.7916717409606894,0.7117077400356261,0.161257889819758,0.24938755507607277,False
RGCN,M11,0.001,128,42,fraud_v08_strict,5,0.7652443775110419,0.6827940421032599,0.14757405787197417,0.2446869614691293,False
MLP,M11,0.0005,64,42,fraud_v08_strict,25,0.7882293888045863,0.7180638149782843,0.17967395620167556,0.2629379620211062,True
GCN,M11,0.0005,64,42,fraud_v08_strict,20,0.7789465853644938,0.7005233130316224,0.1468494001444563,0.23499098166066254,True
GAT,M11,0.0005,64,42,fraud_v08_strict,15,0.7820109698655896,0.7001660493309618,0.1670807309075298,0.2475404632961642,True
SAGE,M11,0.0005,64,42,fraud_v08_strict,10,0.7868350461704512,0.7184556592932396,0.17805530131891026,0.2607913668585036,True
RGCN,M11,0.0005,64,42,fraud_v08_strict,10,0.7488830439542928,0.6782514843671502,0.15016221756431744,0.2442166910212321,True
MLP,M11,0.0005,128,42,fraud_v08_strict,20,0.7817693111979668,0.7031194583681842,0.1693403701678009,0.25436573306442095,False
GCN,M11,0.0005,128,42,fraud_v08_strict,15,0.7860236482154087,0.7037301607501585,0.1503524576588207,0.2420382165156704,False
GAT,M11,0.0005,128,42,fraud_v08_strict,10,0.7844906489687029,0.7153919790608246,0.17677815785148482,0.2526601765483215,False
SAGE,M11,0.0005,128,42,fraud_v08_strict,10,0.7913668431396083,0.7104619853622733,0.16187307943876983,0.25243229025161884,False
RGCN,M11,0.0005,128,42,fraud_v08_strict,5,0.7601080670563919,0.6805640811429644,0.14857142387226566,0.2501525319834809,False
