group,period,n,mean,min,q25,median,q75,q90,q95,max
partition,test,20,528.4,171.0,356.0,555.0,649.25,923.6,940.3000000000001,984.0
partition,train,254,1256.275590551181,19.0,637.75,1180.0,1731.0,2211.9,2568.7,3748.0
partition,validation,40,974.175,176.0,742.25,994.0,1270.0,1388.6000000000001,1625.1999999999998,1726.0
fiscal_year,2010,9,1791.7777777777778,475.0,1165.0,1516.0,2158.0,3685.6,3716.8,3748.0
fiscal_year,2011,20,1367.1,56.0,791.0,1065.5,1867.75,2849.600000000001,3307.65,3358.0
fiscal_year,2012,21,1103.095238095238,181.0,564.0,655.0,1474.0,2439.0,2947.0,2995.0
fiscal_year,2013,18,1388.8333333333333,19.0,609.5,1330.5,2030.5,2677.4,2819.3999999999996,2918.0
fiscal_year,2014,24,1399.0,326.0,749.25,1123.0,2199.0,2377.9,2533.2499999999995,3245.0
fiscal_year,2015,31,1325.5806451612902,144.0,638.5,1459.0,1895.5,2123.0,2325.5,2845.0
fiscal_year,2016,35,1301.2571428571428,21.0,799.5,1443.0,1773.5,2213.0,2354.1999999999994,2570.0
fiscal_year,2017,55,1156.1454545454546,32.0,774.0,1000.0,1536.5,1862.6000000000001,2018.4999999999995,2420.0
fiscal_year,2018,41,1064.9024390243903,142.0,605.0,996.0,1493.0,1743.0,1842.0,2079.0
fiscal_year,2019,23,1027.8695652173913,326.0,604.0,1088.0,1340.5,1592.6000000000001,1679.6,1726.0
fiscal_year,2020,17,901.5294117647059,176.0,752.0,919.0,1111.0,1273.8,1299.6,1350.0
fiscal_year,2021,12,631.25,353.0,419.25,629.5,787.0,936.4,958.6999999999999,984.0
fiscal_year,2022,8,374.125,171.0,219.75,348.5,553.5,565.8,574.9,584.0
