group,period,eligible_rows_unchanged,common_cutoff_positive,fixed_1095_positive,positive_only_after_1095,fixed_1095_negative,retained_fraction_of_original_positive
partition,test,8435,20,20,0,8415,1.0
partition,train,24106,254,119,135,23987,0.468503937007874
partition,validation,7309,40,25,15,7284,0.625
fiscal_year,2010,2026,9,2,7,2024,0.2222222222222222
fiscal_year,2011,2304,20,10,10,2294,0.5
fiscal_year,2012,2437,21,14,7,2423,0.6666666666666666
fiscal_year,2013,2436,18,7,11,2429,0.3888888888888889
fiscal_year,2014,2551,24,11,13,2540,0.4583333333333333
fiscal_year,2015,2738,31,12,19,2726,0.3870967741935484
fiscal_year,2016,2956,35,12,23,2944,0.34285714285714286
fiscal_year,2017,3282,55,28,27,3254,0.509090909090909
fiscal_year,2018,3376,41,23,18,3353,0.5609756097560976
fiscal_year,2019,3530,23,13,10,3517,0.5652173913043478
fiscal_year,2020,3779,17,12,5,3767,0.7058823529411765
fiscal_year,2021,4121,12,12,0,4109,1.0
fiscal_year,2022,4314,8,8,0,4306,1.0
