condition,seed,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,p5_unified,p5_archived
STORED_GAT_M11,1024,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GAT_M11,123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
STORED_GAT_M11,42,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
STORED_GAT_M11,456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_GAT_M11,789,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GCN_M11,1024,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
STORED_GCN_M11,123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_GCN_M11,42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_GCN_M11,456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_GCN_M11,789,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_MLP_M11,1024,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
STORED_MLP_M11,123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_MLP_M11,42,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
STORED_MLP_M11,456,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
STORED_MLP_M11,789,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
STORED_RGCN_M11,1024,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_RGCN_M11,123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_RGCN_M11,42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_RGCN_M11,456,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
STORED_RGCN_M11,789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_SAGE_M11,1024,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
STORED_SAGE_M11,123,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
STORED_SAGE_M11,42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_SAGE_M11,456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
STORED_SAGE_M11,789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
STORED_GAT_G6,1024,8435,422,969,300,2,0.0,0.004739336492890996,0.0,0.004739336492890996
STORED_GAT_G6,123,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_GAT_G6,42,8435,422,3,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
STORED_GAT_G6,456,8435,422,661,422,2,0.0,0.004739336492890996,0.002369668246445498,0.004739336492890996
STORED_GAT_G6,789,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_GCN_G6,1024,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GCN_G6,123,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GCN_G6,42,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GCN_G6,456,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_GCN_G6,789,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_RGCN_G6,1024,8435,422,152,116,0,0.0,0.0,0.0,0.0
STORED_RGCN_G6,123,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_RGCN_G6,42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
STORED_RGCN_G6,456,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_RGCN_G6,789,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_SAGE_G6,1024,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_SAGE_G6,123,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_SAGE_G6,42,8435,422,47,25,0,0.0,0.0,0.0,0.0
STORED_SAGE_G6,456,8435,422,1,1,0,0.0,0.0,0.0,0.0
STORED_SAGE_G6,789,8435,422,1,1,0,0.0,0.0,0.0,0.0
REVERSE_GAT_G6,1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GAT_G6,123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_GAT_G6,42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GAT_G6,456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_GAT_G6,789,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GAT_M11,1024,8435,422,1863,422,4,0.0,0.009478672985781991,0.004739336492890996,0.0
REVERSE_GAT_M11,123,8435,422,2,2,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GAT_M11,42,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
REVERSE_GAT_M11,456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GAT_M11,789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_GCN_G6,1024,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_G6,123,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_G6,42,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_G6,456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_G6,789,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_M11,1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_GCN_M11,123,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_GCN_M11,42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
REVERSE_GCN_M11,456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_GCN_M11,789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_RGCN_G6,1024,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_RGCN_G6,123,8435,422,1,1,0,0.0,0.0,0.0,0.0
REVERSE_RGCN_G6,42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_RGCN_G6,456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_RGCN_G6,789,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_RGCN_M11,1024,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926,0.0071090047393364926
REVERSE_RGCN_M11,123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.011848341232227487,0.011848341232227487
REVERSE_RGCN_M11,42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
REVERSE_RGCN_M11,456,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
REVERSE_RGCN_M11,789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
REVERSE_SAGE_G6,1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.002369668246445498,0.002369668246445498
REVERSE_SAGE_G6,123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996
REVERSE_SAGE_G6,42,8435,422,1,1,0,0.0,0.0,0.0,0.0
