left_condition,right_condition,delta_definition,resampling_scheme,metric,observed_mean_paired_delta,seed_paired_delta_sd,ci_low,ci_high,n_matched_seeds,n_company_clusters,n_test_rows,n_test_positives,bootstrap_replicates
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.03198039215686277,0.017701752341662217,-0.02111009188282394,0.08931873635715616,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_only_fixed_five_fits,ap,0.003822311561033344,0.0009614125038003462,-0.0020530873817349014,0.016795102425542115,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.011993823258032405,0.014124355650147795,-0.007755767186715392,0.05218991765920145,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.0018957345971563986,0.0030896693863519667,-0.008056872037914692,0.01187648456057007,5,4531,8435,20,2000
TABUW_RandomForest_M11,STORED_MLP_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.019999999999999997,0.05700877125495689,-0.14999999999999997,0.2191269841269837,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.045754604872251935,0.009788818738581444,-0.027601699676179727,0.12141916396391413,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.006458436562394992,0.0009204620041649509,-0.002121264480489496,0.026133231581114195,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.017939621937602297,0.013640401879403213,-0.023981800702740176,0.08319257087376454,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.010900473933649289,0.0027018375002349246,1.6913553890773894e-18,0.023230415388904333,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,-0.009999999999999986,0.07416198487095663,-0.23645454545454536,0.24169642857142834,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.0465270350564468,0.01816884699969019,-0.005187450774961943,0.0999904332365285,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0056142328101035826,0.0017988948737851231,-0.0002654519354432763,0.022752477979903915,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.020606257338615926,0.018056210662766272,-0.006153846153846154,0.0762589567961655,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.007109004739336494,0.002369668246445497,-0.0014251781472684084,0.015640739156375587,5,4531,8435,20,2000
TABUW_RandomForest_M11,REVERSE_SAGE_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.020000000000000007,0.09746794344808962,-0.20000000000000007,0.2251249999999993,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.17525490196078433,0.05870988749606367,0.09459629485506763,0.26391139767497895,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.003954278435743348,0.0015280776518326713,0.0005465920511118294,0.010235721594866173,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.008573679995391104,0.002067813064939901,0.0,0.027418461986563423,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.0018957345971563982,0.004238991426539886,-0.003800475059382423,0.008983983731639271,5,4531,8435,20,2000
REVERSE_GCN_M11,STORED_GCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.29000000000000004,0.14317821063276354,0.054545454545454564,0.49523809523809514,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.10086096256684496,0.05829219049904647,-0.007620733626261386,0.2165801785937104,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0013402519938587518,0.001944195714068778,-0.0015631410938399554,0.004323238792479031,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.002447474314261564,0.009384119743764392,-0.012389345483668386,0.0036309082199529534,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.0037914691943127963,0.0054553859873086915,-0.0014184397163120566,0.008056872037914692,5,4531,8435,20,2000
REVERSE_GAT_M11,STORED_GAT_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,-0.04,0.16355427233796127,-0.15833333333333333,0.0933333333333333,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.057397504456328054,0.026653496991065746,0.0035842264493806536,0.12475175121524407,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0007804054676412995,0.0008032754932866068,-0.0022385258066637873,0.0029069088215547376,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.010706290828443942,0.011593785961413984,-0.024707826001910658,0.00036786607487449143,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,-0.001421800947867299,0.0027018375002349233,-0.003317535545023698,0.0018957345971563969,5,4531,8435,20,2000
REVERSE_SAGE_M11,STORED_SAGE_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.029999999999999992,0.09082951062292476,-0.04999999999999993,0.16249999999999998,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,-0.019087344028520394,0.07304657638011734,-0.10211861665259322,0.0574909351129724,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,ap,-5.928260746585305e-05,0.0011481977397587747,-0.0074250564932392595,0.004905944186727653,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,-0.000250601349680921,0.004401639317657173,-0.026275457935992348,0.022359784422524263,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,-0.00047393364928909976,0.0019826066979480458,-0.005700712589073635,0.004728132387706857,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,0.04,0.09617692030835674,-0.06000000000000005,0.17647058823529405,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,roc_auc,0.013774212715389167,0.026398307172295635,-0.03300383219086006,0.05664278945939536,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,ap,0.0026361250013616487,0.0013301829253220183,-0.0038142010564410356,0.0163116626055261,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,f1_val_threshold,0.005945798679569892,0.0036634579781575135,-0.018309285739698967,0.03520690686696083,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,p_at_5pct,0.00900473933649289,0.004558147881912641,-0.0018867924528301883,0.02085431887516745,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_only_fixed_five_fits,r_at_10fpr,-0.02999999999999998,0.07582875444051551,-0.18181818181818177,0.16,5,4531,8435,20,2000
