condition,resampling_scheme,metric,mean_of_five_fit_metrics,seed_sd,ci_low,ci_high,replicates
STORED_MLP_M11,company_only_fixed_five_fits,roc_auc,0.831888294711824,0.012858824573272684,0.761538999917315,0.8930628965015767,2000
STORED_MLP_M11,company_only_fixed_five_fits,ap,0.010937965606419487,0.0006494880010467707,0.005265103333135684,0.027520070686270846,2000
STORED_MLP_M11,company_only_fixed_five_fits,f1_val_threshold,0.014519478674960996,0.004588317343680101,0.0011048962756647336,0.038931205972644864,2000
STORED_MLP_M11,company_only_fixed_five_fits,p_at_5pct,0.014691943127962088,0.0030896693863519662,0.004705944964818717,0.026541860386576747,2000
STORED_MLP_M11,company_only_fixed_five_fits,r_at_10fpr,0.44000000000000006,0.022360679774997894,0.23995238095238094,0.6347953964194373,2000
TABUW_RandomForest_M11,company_only_fixed_five_fits,roc_auc,0.863868686868687,0.005564174128935324,0.8016834054593025,0.9200267221004521,2000
TABUW_RandomForest_M11,company_only_fixed_five_fits,ap,0.014760277167452828,0.0006553972657598179,0.006696272983680969,0.03762173492975009,2000
TABUW_RandomForest_M11,company_only_fixed_five_fits,f1_val_threshold,0.026513301932993404,0.014914806588713456,0.0,0.08873351737138138,2000
TABUW_RandomForest_M11,company_only_fixed_five_fits,p_at_5pct,0.016587677725118485,0.0,0.005189969604863222,0.028503562945368172,2000
TABUW_RandomForest_M11,company_only_fixed_five_fits,r_at_10fpr,0.4600000000000001,0.04183300132670377,0.2555,0.6963888888888883,2000
STORED_GCN_M11,company_only_fixed_five_fits,roc_auc,0.6428591800356507,0.06065091797592999,0.5491063752863472,0.7159402810759214,2000
STORED_GCN_M11,company_only_fixed_five_fits,ap,0.00434756216931449,0.0012803315810670853,0.0025026407629183834,0.00825974297486693,2000
STORED_GCN_M11,company_only_fixed_five_fits,f1_val_threshold,0.0,0.0,0.0,0.0,2000
STORED_GCN_M11,company_only_fixed_five_fits,p_at_5pct,0.0037914691943127963,0.0035937798313040526,0.00047393364928909954,0.007565459984538332,2000
STORED_GCN_M11,company_only_fixed_five_fits,r_at_10fpr,0.18,0.1036822067666386,0.07777777777777778,0.3,2000
STORED_GAT_M11,company_only_fixed_five_fits,roc_auc,0.6114165181224005,0.0352751581187343,0.4989323302297355,0.709311904587251,2000
