fiscal_year,relation,edge_records,consumed_in_current_protocol
2010,E1,12874,True
2010,E2,47859,True
2010,E3,14946,True
2010,E4,3756,True
2010,E5,626,True
2011,E1,15648,True
2011,E2,50430,True
2011,E3,18688,True
2011,E4,4444,True
2011,E5,870,True
2012,E1,13863,True
2012,E2,51034,True
2012,E3,23161,True
2012,E4,2208,True
2012,E5,1315,True
2013,E1,14757,True
2013,E2,53208,True
2013,E3,30316,True
2013,E4,2141,True
2013,E5,2047,True
2014,E1,14931,True
2014,E2,57031,True
2014,E3,44272,True
2014,E4,3669,True
2014,E5,4000,True
2015,E1,15777,True
2015,E2,70151,True
2015,E3,65576,True
2015,E4,5185,True
2015,E5,8484,True
2016,E1,22799,True
2016,E2,60225,True
2016,E3,92013,True
2016,E4,6863,True
2016,E5,15818,True
2017,E1,25366,True
2017,E2,68574,True
2017,E3,123403,True
2017,E4,8587,True
2017,E5,26790,True
2018,E1,22982,True
2018,E2,54905,True
2018,E3,160858,True
2018,E4,5267,True
2018,E5,43597,True
2019,E1,22124,True
2019,E2,61425,True
2019,E3,190666,True
2019,E4,4434,True
2019,E5,56873,True
2020,E1,52673,True
2020,E2,71177,True
2020,E3,224370,True
2020,E4,38042,True
2020,E5,73231,True
2021,E1,65275,True
2021,E2,80775,True
2021,E3,242525,True
2021,E4,69025,True
2021,E5,79930,True
2022,E1,64735,True
2022,E2,83207,True
2022,E3,249078,True
2022,E4,81045,True
2022,E5,76974,True
2023,E1,68613,False
2023,E2,82206,False
2023,E3,253197,False
2023,E4,90032,False
2023,E5,74172,False
2024,E1,76723,False
2024,E2,84069,False
2024,E3,275605,False
2024,E4,102981,False
2024,E5,83239,False
