fiscal_year,node_type,graph_scope,degree_unit,active_entity_nodes,n,mean,min,q25,median,q75,q90,q95,max
2010,person,E1_E2_E3_union,distinct_company_neighbors,25736,25736,1.216661485856388,1.0,1.0,1.0,1.0,2.0,2.0,19.0
2010,institution,E1_E2_E3_union,distinct_company_neighbors,11994,11994,2.9061197265299317,1.0,1.0,1.0,2.0,5.0,11.0,142.0
2010,person,E3_only,distinct_company_neighbors,8194,8194,1.0557725164754699,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2011,person,E1_E2_E3_union,distinct_company_neighbors,29654,29654,1.1985904093882782,1.0,1.0,1.0,1.0,2.0,2.0,30.0
2011,institution,E1_E2_E3_union,distinct_company_neighbors,13358,13358,2.7646354244647404,1.0,1.0,1.0,2.0,4.0,10.0,158.0
2011,person,E3_only,distinct_company_neighbors,9709,9709,1.062828303635802,1.0,1.0,1.0,1.0,1.0,1.0,8.0
2012,person,E1_E2_E3_union,distinct_company_neighbors,31389,31389,1.1926471056739623,1.0,1.0,1.0,1.0,2.0,2.0,37.0
2012,institution,E1_E2_E3_union,distinct_company_neighbors,12792,12792,2.7861163227016887,1.0,1.0,1.0,2.0,4.0,9.0,247.0
2012,person,E3_only,distinct_company_neighbors,11611,11611,1.0741538196537765,1.0,1.0,1.0,1.0,1.0,2.0,10.0
2013,person,E1_E2_E3_union,distinct_company_neighbors,35653,35653,1.2159706055591395,1.0,1.0,1.0,1.0,2.0,2.0,30.0
2013,institution,E1_E2_E3_union,distinct_company_neighbors,13489,13489,2.564608199273482,1.0,1.0,1.0,2.0,4.0,8.0,246.0
2013,person,E3_only,distinct_company_neighbors,14480,14480,1.0843232044198896,1.0,1.0,1.0,1.0,1.0,2.0,14.0
2014,person,E1_E2_E3_union,distinct_company_neighbors,39600,39600,1.248510101010101,1.0,1.0,1.0,1.0,2.0,2.0,31.0
2014,institution,E1_E2_E3_union,distinct_company_neighbors,14757,14757,2.551196042556075,1.0,1.0,1.0,2.0,4.0,8.0,171.0
2014,person,E3_only,distinct_company_neighbors,19701,19701,1.1079133038932034,1.0,1.0,1.0,1.0,1.0,2.0,17.0
2015,person,E1_E2_E3_union,distinct_company_neighbors,45169,45169,1.2903097256968274,1.0,1.0,1.0,1.0,2.0,3.0,45.0
2015,institution,E1_E2_E3_union,distinct_company_neighbors,17374,17374,2.914009439392195,1.0,1.0,1.0,2.0,4.0,8.0,1115.0
2015,person,E3_only,distinct_company_neighbors,27093,27093,1.1471597829697708,1.0,1.0,1.0,1.0,1.0,2.0,22.0
2016,person,E1_E2_E3_union,distinct_company_neighbors,52811,52811,1.2911893355550927,1.0,1.0,1.0,1.0,2.0,3.0,45.0
2016,institution,E1_E2_E3_union,distinct_company_neighbors,20451,20451,2.281991100679673,1.0,1.0,1.0,1.0,3.0,6.0,1142.0
2016,person,E3_only,distinct_company_neighbors,35063,35063,1.1884607706128967,1.0,1.0,1.0,1.0,2.0,2.0,32.0
2017,person,E1_E2_E3_union,distinct_company_neighbors,65731,65731,1.3323850238091617,1.0,1.0,1.0,1.0,2.0,3.0,51.0
2017,institution,E1_E2_E3_union,distinct_company_neighbors,25306,25306,1.979135382913143,1.0,1.0,1.0,1.0,3.0,5.0,1081.0
2017,person,E3_only,distinct_company_neighbors,44301,44301,1.2288661655493105,1.0,1.0,1.0,1.0,2.0,2.0,36.0
2018,person,E1_E2_E3_union,distinct_company_neighbors,73556,73556,1.3287699167980858,1.0,1.0,1.0,1.0,2.0,3.0,54.0
2018,institution,E1_E2_E3_union,distinct_company_neighbors,21349,21349,1.732399644011429,1.0,1.0,1.0,1.0,2.0,4.0,1016.0
2018,person,E3_only,distinct_company_neighbors,53937,53937,1.2735598939503494,1.0,1.0,1.0,1.0,2.0,3.0,47.0
2019,person,E1_E2_E3_union,distinct_company_neighbors,80483,80483,1.3605854652535319,1.0,1.0,1.0,1.0,2.0,3.0,59.0
2019,institution,E1_E2_E3_union,distinct_company_neighbors,22538,22538,1.7947022805927766,1.0,1.0,1.0,1.0,2.0,4.0,1162.0
2019,person,E3_only,distinct_company_neighbors,59807,59807,1.2994131121775043,1.0,1.0,1.0,1.0,2.0,3.0,48.0
2020,person,E1_E2_E3_union,distinct_company_neighbors,87895,87895,1.399260481256044,1.0,1.0,1.0,1.0,2.0,3.0,71.0
2020,institution,E1_E2_E3_union,distinct_company_neighbors,25231,25231,1.855891561967421,1.0,1.0,1.0,1.0,2.0,4.0,1371.0
2020,person,E3_only,distinct_company_neighbors,66124,66124,1.327142943560583,1.0,1.0,1.0,1.0,2.0,3.0,48.0
2021,person,E1_E2_E3_union,distinct_company_neighbors,92739,92739,1.414981830729251,1.0,1.0,1.0,1.0,2.0,3.0,77.0
2021,institution,E1_E2_E3_union,distinct_company_neighbors,26713,26713,1.9379328416875679,1.0,1.0,1.0,1.0,2.0,4.0,1499.0
2021,person,E3_only,distinct_company_neighbors,69064,69064,1.3402930615081663,1.0,1.0,1.0,1.0,2.0,3.0,52.0
2022,person,E1_E2_E3_union,distinct_company_neighbors,90438,90438,1.4080806740529423,1.0,1.0,1.0,1.0,2.0,3.0,71.0
2022,institution,E1_E2_E3_union,distinct_company_neighbors,25659,25659,2.092832924120192,1.0,1.0,1.0,1.0,3.0,5.0,1532.0
2022,person,E3_only,distinct_company_neighbors,68567,68567,1.3367654994385054,1.0,1.0,1.0,1.0,2.0,3.0,57.0
2023,person,E1_E2_E3_union,distinct_company_neighbors,86530,86530,1.3927424014792558,1.0,1.0,1.0,1.0,2.0,3.0,71.0
2023,institution,E1_E2_E3_union,distinct_company_neighbors,24117,24117,2.404652319940291,1.0,1.0,1.0,1.0,3.0,5.0,2503.0
2023,person,E3_only,distinct_company_neighbors,67843,67843,1.3277862122842445,1.0,1.0,1.0,1.0,2.0,3.0,58.0
2024,person,E1_E2_E3_union,distinct_company_neighbors,91189,91189,1.4098630317253178,1.0,1.0,1.0,1.0,2.0,3.0,75.0
2024,institution,E1_E2_E3_union,distinct_company_neighbors,22594,22594,2.191422501549084,1.0,1.0,1.0,1.0,2.0,5.0,2645.0
2024,person,E3_only,distinct_company_neighbors,70286,70286,1.3371368409071507,1.0,1.0,1.0,1.0,2.0,3.0,60.0
