fiscal_year,degree_scope,strict_degree_threshold,active_person_nodes,person_nodes_above_threshold,person_node_fraction_above_threshold,all_E3_records,person_E3_records,person_E3_records_incident_on_high_degree_nodes,fraction_of_all_E3_records,fraction_of_person_E3_records,unique_person_company_E3_pairs,high_degree_unique_E3_pairs,messages_weighted_by_stored_multiplicity
2010,E1_E2_E3_union,20,25736,0,0.0,14946,14918,0,0.0,0.0,8651,0,True
2010,E1_E2_E3_union,50,25736,0,0.0,14946,14918,0,0.0,0.0,8651,0,True
2010,E3_only,20,8194,0,0.0,14946,14918,0,0.0,0.0,8651,0,True
2010,E3_only,50,8194,0,0.0,14946,14918,0,0.0,0.0,8651,0,True
2011,E1_E2_E3_union,20,29654,3,0.00010116679031496594,18688,18655,5,0.0002675513698630137,0.0002680246582685607,10319,4,True
2011,E1_E2_E3_union,50,29654,0,0.0,18688,18655,0,0.0,0.0,10319,0,True
2011,E3_only,20,9709,0,0.0,18688,18655,0,0.0,0.0,10319,0,True
2011,E3_only,50,9709,0,0.0,18688,18655,0,0.0,0.0,10319,0,True
2012,E1_E2_E3_union,20,31389,1,3.1858294306922805e-05,23161,23115,0,0.0,0.0,12472,0,True
2012,E1_E2_E3_union,50,31389,0,0.0,23161,23115,0,0.0,0.0,12472,0,True
2012,E3_only,20,11611,0,0.0,23161,23115,0,0.0,0.0,12472,0,True
2012,E3_only,50,11611,0,0.0,23161,23115,0,0.0,0.0,12472,0,True
2013,E1_E2_E3_union,20,35653,4,0.00011219252236838414,30316,30238,19,0.0006267317588072305,0.0006283484357431047,15701,8,True
2013,E1_E2_E3_union,50,35653,0,0.0,30316,30238,0,0.0,0.0,15701,0,True
2013,E3_only,20,14480,0,0.0,30316,30238,0,0.0,0.0,15701,0,True
2013,E3_only,50,14480,0,0.0,30316,30238,0,0.0,0.0,15701,0,True
2014,E1_E2_E3_union,20,39600,10,0.0002525252525252525,44272,44097,125,0.0028234550054210337,0.002834659954191895,21827,59,True
2014,E1_E2_E3_union,50,39600,0,0.0,44272,44097,0,0.0,0.0,21827,0,True
2014,E3_only,20,19701,0,0.0,44272,44097,0,0.0,0.0,21827,0,True
2014,E3_only,50,19701,0,0.0,44272,44097,0,0.0,0.0,21827,0,True
2015,E1_E2_E3_union,20,45169,22,0.0004870597090925192,65576,65311,421,0.0064200317189215565,0.006446081058320957,31080,221,True
2015,E1_E2_E3_union,50,45169,0,0.0,65576,65311,0,0.0,0.0,31080,0,True
2015,E3_only,20,27093,1,3.69099029269553e-05,65576,65311,41,0.0006252287422227644,0.0006277656137557226,31080,22,True
2015,E3_only,50,27093,0,0.0,65576,65311,0,0.0,0.0,31080,0,True
2016,E1_E2_E3_union,20,52811,30,0.0005680634716252296,92013,91615,956,0.01038983621879517,0.010434972439011078,41671,460,True
2016,E1_E2_E3_union,50,52811,0,0.0,92013,91615,0,0.0,0.0,41671,0,True
2016,E3_only,20,35063,6,0.00017112055443059635,92013,91615,320,0.003477769445621814,0.003492877803853081,41671,148,True
2016,E3_only,50,35063,0,0.0,92013,91615,0,0.0,0.0,41671,0,True
2017,E1_E2_E3_union,20,65731,50,0.0007606760889078213,123403,122826,1777,0.014399974068701733,0.014467620862032468,54440,807,True
2017,E1_E2_E3_union,50,65731,1,1.5213521778156426e-05,123403,122826,78,0.0006320753952497103,0.0006350446973767769,54440,30,True
2017,E3_only,20,44301,15,0.00033859280828875193,123403,122826,859,0.006960932878455143,0.006993633269828863,54440,377,True
