population,condition,seed,n,positive,negative,budget,roc_auc,reference_subset,reference_auc,overlap_minus_reference
O,primary__MLP__M5,42,8428,13,8415,422,0.8380547557018146,positive_no_detected_earlier_doc_vs_all_negatives,0.7021305491893727,0.13592420651244197
S_overlap,primary__MLP__M5,42,7755,4,7751,388,0.793736292091343,intersection_doc_and_source_screen,0.5620565088375693,0.2316797832537737
O,primary__MLP__M5,123,8428,13,8415,422,0.7914438502673795,positive_no_detected_earlier_doc_vs_all_negatives,0.6337322807911043,0.15771156947627518
S_overlap,primary__MLP__M5,123,7755,4,7751,388,0.6807186169526513,intersection_doc_and_source_screen,0.4729712295187718,0.20774738743387955
O,primary__MLP__M5,456,8428,13,8415,422,0.8065816536404771,positive_no_detected_earlier_doc_vs_all_negatives,0.611085646379764,0.19549600726071303
S_overlap,primary__MLP__M5,456,7755,4,7751,388,0.7022319700683781,intersection_doc_and_source_screen,0.5300606373371178,0.17217133273126028
O,primary__MLP__M5,789,8428,13,8415,422,0.8185017596782302,positive_no_detected_earlier_doc_vs_all_negatives,0.6724386724386725,0.14606308723955774
S_overlap,primary__MLP__M5,789,7755,4,7751,388,0.7647722874467812,intersection_doc_and_source_screen,0.4513611146948781,0.31341117275190306
O,primary__MLP__M5,1024,8428,13,8415,422,0.8226152932035286,positive_no_detected_earlier_doc_vs_all_negatives,0.6573805279687632,0.16523476523476532
S_overlap,primary__MLP__M5,1024,7755,4,7751,388,0.7235517997677718,intersection_doc_and_source_screen,0.5459295574764547,0.17762224229131718
O,primary__MLP__M11,42,8428,13,8415,422,0.9216326157502628,positive_no_detected_earlier_doc_vs_all_negatives,0.6818775995246583,0.23975501622560447
S_overlap,primary__MLP__M11,42,7755,4,7751,388,0.9288156366920399,intersection_doc_and_source_screen,0.5463166043091214,0.3824990323829185
O,primary__MLP__M11,123,8428,13,8415,422,0.8916495269436443,positive_no_detected_earlier_doc_vs_all_negatives,0.6655801714625245,0.22606935548111984
S_overlap,primary__MLP__M11,123,7755,4,7751,388,0.8630499290414142,intersection_doc_and_source_screen,0.6107599019481357,0.2522900270932785
O,primary__MLP__M11,456,8428,13,8415,422,0.9236071118424061,positive_no_detected_earlier_doc_vs_all_negatives,0.6910618792971734,0.23254523254523263
S_overlap,primary__MLP__M11,456,7755,4,7751,388,0.928976906205651,intersection_doc_and_source_screen,0.6090826990065797,0.31989420719907125
O,primary__MLP__M11,789,8428,13,8415,422,0.9208738973444857,positive_no_detected_earlier_doc_vs_all_negatives,0.6472455648926237,0.2736283324518619
S_overlap,primary__MLP__M11,789,7755,4,7751,388,0.9481034705199332,intersection_doc_and_source_screen,0.5749580699264611,0.373145400593472
O,primary__MLP__M11,1024,8428,13,8415,422,0.9274281274281274,positive_no_detected_earlier_doc_vs_all_negatives,0.6829980477039301,0.24443007972419728
S_overlap,primary__MLP__M11,1024,7755,4,7751,388,0.9380725067733195,intersection_doc_and_source_screen,0.6408205392852535,0.29725196748806604
O,primary__RandomForest__M5,42,8428,13,8415,422,0.8295443118972531,positive_no_detected_earlier_doc_vs_all_negatives,0.6821152703505645,0.14742904154668857
S_overlap,primary__RandomForest__M5,42,7755,4,7751,388,0.6842826732034577,intersection_doc_and_source_screen,0.7094890981808799,-0.025206424977422204
O,primary__RandomForest__M5,123,8428,13,8415,422,0.8315416609534257,positive_no_detected_earlier_doc_vs_all_negatives,0.7206349206349206,0.11090674031850511
