population,condition,n,positive,negative,budget,roc_auc_mean,roc_auc_sd,gap_mean,gap_sd
O,primary__MLP__M5,8428,13,8415,422,0.815439462498286,0.017511224122742496,0.16008592714475064,0.022729114945122208
S_overlap,primary__MLP__M5,7755,4,7751,388,0.7330021932653852,0.04600994069056929,0.22052638369242678,0.057215079761802824
O,primary__MLP__M11,8428,13,8415,422,0.9170382558617852,0.014417932796579517,0.24328560328560322,0.018345372963431687
S_overlap,primary__MLP__M11,7755,4,7751,388,0.9214036898464716,0.033571489793834175,0.3250161269513613,0.054099167302719485
O,primary__RandomForest__M5,8428,13,8415,422,0.8268595456830751,0.00827596458117603,0.13339040044922396,0.026135047479048643
S_overlap,primary__RandomForest__M5,7755,4,7751,388,0.7094923235711522,0.032445140471488165,0.0032866726873952423,0.0562639997258431
O,primary__RandomForest__M11,8428,13,8415,422,0.9351844234197177,0.004031512882302707,0.20375924728865913,0.02558660175299702
S_overlap,primary__RandomForest__M11,7755,4,7751,388,0.9132111985550253,0.009556484937494513,0.16215327054573608,0.050429350037198506
O,primary__GCN__M11,8428,13,8415,422,0.8677398418574889,0.018950349790566326,0.141787885317297,0.049669524280984624
S_overlap,primary__GCN__M11,7755,4,7751,388,0.9022384208489227,0.029004858910524244,0.11801703006063728,0.10486810004452737
O,primary__SAGE__M11,8428,13,8415,422,0.8967192284839344,0.025488054603871838,0.22679307620484096,0.0668277133525518
S_overlap,primary__SAGE__M11,7755,4,7751,388,0.9230099342020386,0.02238774033826986,0.3079667139723908,0.11830205314461817
O,asof__MLP__M5,8428,13,8415,422,0.8250011426482015,0.02018795401070295,0.16492135315664722,0.023787926779911196
S_overlap,asof__MLP__M5,7755,4,7751,388,0.7401690104502644,0.04134444223716427,0.2590181912011353,0.05756491557579019
O,asof__MLP__M11,8428,13,8415,422,0.9185922574157868,0.013642576565055636,0.24858461799638257,0.011492726099723698
S_overlap,asof__MLP__M11,7755,4,7751,388,0.9240485098696942,0.0365051731401239,0.32821571410140626,0.05512970901958122
O,asof__RandomForest__M5,8428,13,8415,422,0.8788573517985281,0.02154324262342444,0.08601973190208471,0.009870738139846033
S_overlap,asof__RandomForest__M5,7755,4,7751,388,0.7204392981550768,0.04894641057962882,-0.029392981550767572,0.04572682894355877
O,asof__RandomForest__M11,8428,13,8415,422,0.9500498194615842,0.00596970303746724,0.12893616187733842,0.027407192660941247
S_overlap,asof__RandomForest__M11,7755,4,7751,388,0.9114082053928525,0.011187738194435361,0.08477293252483557,0.039450397329201047
O,fixed1095__MLP__M11,8428,13,8415,422,0.9113241007358654,0.01440360578928618,0.25469393351746283,0.006838639071198931
S_overlap,fixed1095__MLP__M11,7755,4,7751,388,0.9216230163849826,0.03946987580139609,0.37324216230163854,0.10384335955236887
O,fixed1095__RandomForest__M11,8428,13,8415,422,0.9070752776635128,0.015333286092711564,0.34594634124045887,0.05264818486891075
S_overlap,fixed1095__RandomForest__M11,7755,4,7751,388,0.921252096503677,0.012341217361150575,0.46691717197780935,0.13231898717971655
O,fixed1095__GCN__M11,8428,13,8415,422,0.8260944284473697,0.05053816490668379,0.17091065796948152,0.15669411928476895
S_overlap,fixed1095__GCN__M11,7755,4,7751,388,0.8873177654496194,0.06391853076840935,0.20412849954844542,0.20481165676266283
O,fixed1095__SAGE__M11,8428,13,8415,422,0.8471703459938755,0.03654996810614221,0.3129202823320471,0.0643218941642263
S_overlap,fixed1095__SAGE__M11,7755,4,7751,388,0.917707392594504,0.020000509581035993,0.5389304605857308,0.06254762772487084
