subset,condition,n,positive,negative,budget,retrieved_mean,retrieved_min,retrieved_max
full_test,primary__MLP__M5,8435,20,8415,422,2.8,1,4
full_test,primary__MLP__M11,8435,20,8415,422,6.2,4,7
full_test,primary__RandomForest__M5,8435,20,8415,422,3.6,3,4
full_test,primary__RandomForest__M11,8435,20,8415,422,7.0,7,7
full_test,primary__GCN__M11,8435,20,8415,422,2.4,1,4
full_test,primary__SAGE__M11,8435,20,8415,422,4.0,3,5
full_test,asof__MLP__M5,8435,20,8415,422,2.6,1,4
full_test,asof__MLP__M11,8435,20,8415,422,5.8,4,7
full_test,asof__RandomForest__M5,8435,20,8415,422,8.2,7,9
full_test,asof__RandomForest__M11,8435,20,8415,422,9.0,8,10
full_test,fixed1095__MLP__M11,8435,20,8415,422,5.2,4,7
full_test,fixed1095__RandomForest__M11,8435,20,8415,422,8.2,8,9
full_test,fixed1095__GCN__M11,8435,20,8415,422,3.0,1,5
full_test,fixed1095__SAGE__M11,8435,20,8415,422,3.8,2,5
positive_no_detected_earlier_doc_vs_all_negatives,primary__MLP__M5,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,primary__MLP__M11,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,primary__RandomForest__M5,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,primary__RandomForest__M11,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,primary__GCN__M11,8422,7,8415,422,1.2,1,2
positive_no_detected_earlier_doc_vs_all_negatives,primary__SAGE__M11,8422,7,8415,422,0.2,0,1
positive_no_detected_earlier_doc_vs_all_negatives,asof__MLP__M5,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,asof__MLP__M11,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,asof__RandomForest__M5,8422,7,8415,422,1.4,1,2
positive_no_detected_earlier_doc_vs_all_negatives,asof__RandomForest__M11,8422,7,8415,422,1.0,1,1
positive_no_detected_earlier_doc_vs_all_negatives,fixed1095__MLP__M11,8422,7,8415,422,0.0,0,0
positive_no_detected_earlier_doc_vs_all_negatives,fixed1095__RandomForest__M11,8422,7,8415,422,0.0,0,0
