subset,contrast,mean_delta,seed_sd,positive_seed_pairs,seed_differences
full_test,reverse_GCN_minus_MLP,-0.013774212715389167,0.026398307172295635,1,"[-0.03183600713012469, 0.026221033868092825, -0.022299465240641747, -0.0017825311942959443, -0.03917409387997628]"
full_test,MLP_M11_minus_M5,0.07247890671420083,0.021724739206600063,5,"[0.04723707664884125, 0.0762804515745692, 0.10405822935234699, 0.05772430184194899, 0.07709447415329773]"
full_test,RF_M11_minus_M5,0.08369578134284017,0.007753569602923691,5,"[0.07845216874628624, 0.07825014854426615, 0.08468508615567438, 0.0967706476530007, 0.08032085561497337]"
positive_no_detected_earlier_doc_vs_all_negatives,reverse_GCN_minus_MLP,0.052199303964009826,0.05306250343894727,4,"[-0.0031746031746030523, 0.10474492827434001, 0.0010525422290127429, 0.10528817587641115, 0.05308547661488827]"
positive_no_detected_earlier_doc_vs_all_negatives,MLP_M11_minus_M5,0.018399117222646665,0.043066751544390026,3,"[-0.02025294966471436, 0.03184789067142013, 0.0799762329174094, -0.025193107546048754, 0.025617519735166905]"
positive_no_detected_earlier_doc_vs_all_negatives,RF_M11_minus_M5,0.03795603089720736,0.023973809461192243,5,"[0.02420847126729475, 0.043646549528902456, 0.05967235379000091, 0.05862829980477047, 0.0036244800950682166]"
source_screen_no_detected_exposure_or_absence,reverse_GCN_minus_MLP,0.04983442996602583,0.047237544844708775,4,"[0.04896142433234418, 0.12637079086569458, 0.027200791295746707, 0.04728422139078825, -0.0006450780544445811]"
source_screen_no_detected_exposure_or_absence,MLP_M11_minus_M5,0.15357158216144157,0.03884590379381233,5,"[0.08480626155764859, 0.16748376553562982, 0.17750397798133577, 0.16341977379262895, 0.17464413193996475]"
source_screen_no_detected_exposure_or_absence,RF_M11_minus_M5,0.15076334236442607,0.032509353031602996,5,"[0.17183804240313072, 0.16276394443727682, 0.10204059691222644, 0.1346815464671225, 0.1824925816023738]"
source_screen_plus_complete_fin_binding,reverse_GCN_minus_MLP,0.025281099656357407,0.05592056542404469,4,"[0.05270103092783518, 0.09102405498281785, 0.03315463917525774, 0.008439862542955368, -0.05891408934707909]"
source_screen_plus_complete_fin_binding,MLP_M11_minus_M5,0.14893745704467345,0.04996674786171875,5,"[0.08739518900343635, 0.13888659793814417, 0.1949690721649484, 0.11898281786941567, 0.20445360824742265]"
source_screen_plus_complete_fin_binding,RF_M11_minus_M5,0.17410584192439862,0.03127564399571003,5,"[0.20060481099656358, 0.17054295532646035, 0.13316838487972515, 0.15703092783505157, 0.20918213058419244]"
intersection_doc_and_source_screen,reverse_GCN_minus_MLP,0.18783382789317507,0.07749021978402781,5,"[0.1321119855502515, 0.29247838988517616, 0.11063088633724683, 0.24442007482905426, 0.15952780286414658]"
intersection_doc_and_source_screen,MLP_M11_minus_M5,0.08391175332215196,0.06031696096055978,4,"[-0.015739904528447868, 0.13778867242936388, 0.07902206166946191, 0.12359695523158304, 0.09489098180879885]"
intersection_doc_and_source_screen,RF_M11_minus_M5,0.04485227712553219,0.04758699970882402,5,"[0.039027222293897545, 0.1174364598116372, 0.004386530770223218, 0.0019352341633337433, 0.06147593858856926]"
O,MLP_M11_minus_M5,0.10159879336349924,0.011995883874838468,5,"[0.08357786004844814, 0.10020567667626479, 0.117025458201929, 0.10237213766625541, 0.10481283422459886]"
O,RandomForest_M11_minus_M5,0.10832487773664254,0.011093482953781453,5,"[0.10766031354266647, 0.09688285570638511, 0.0981534805064217, 0.11730883495589406, 0.12161890397184538]"
S_overlap,MLP_M11_minus_M5,0.18840149658108646,0.03556065107972418,5,"[0.13507934460069693, 0.18233131208876285, 0.22674493613727287, 0.183331183073152, 0.2145207070055477]"
S_overlap,RandomForest_M11_minus_M5,0.20371887498387303,0.03830777878873242,5,"[0.23824345245774747, 0.18542768675009658, 0.150867629983228, 0.20105470261901692, 0.24300090310927613]"
