identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
ORIGINAL_GAT_G6_seed42,8435,422,3,1,0,0.004739336492890996,0.004739336492890996,0.4871301247771836,0.48713012477718354,-5.551115123125783e-17,0.0026271787436893354,0.0026271787436893354,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.1,0.1,0.0,False
ORIGINAL_GAT_G6_seed123,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.47399286987522277,0.4739928698752228,5.551115123125783e-17,0.002413321670386863,0.0024133216703868636,4.336808689942018e-19,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.05,0.05,0.0,False
ORIGINAL_GAT_G6_seed456,8435,422,661,422,2,0.0,0.004739336492890996,0.5262358882947118,0.5262358882947118,0.0,0.002671551703730079,0.002671551703730079,0.0,0.002564102564102564,0.002564102564102564,0.0,0.004739336492890996,0.002369668246445498,-0.002369668246445498,0.1,0.1,0.0,True
ORIGINAL_GAT_G6_seed789,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.47266785502079617,0.4726678550207962,5.551115123125783e-17,0.002472999075401442,0.0024729990754014425,4.336808689942018e-19,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.1,0.1,0.0,False
ORIGINAL_GAT_G6_seed1024,8435,422,969,300,2,0.0,0.004739336492890996,0.4567557932263815,0.45675579322638143,-5.551115123125783e-17,0.002217543081341059,0.002217543081341059,0.0,0.0,0.0,0.0,0.004739336492890996,0.0,-0.004739336492890996,0.0,0.0,0.0,True
ORIGINAL_GAT_M11_seed42,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.6599168152109328,0.6599168152109328,0.0,0.005021636940826928,0.005021636940826928,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.3,0.3,0.0,False
ORIGINAL_GAT_M11_seed123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.5783630421865716,0.5783630421865715,-1.1102230246251565e-16,0.0039292965869865875,0.0039292965869865875,0.0,0.02247191011235955,0.02247191011235955,0.0,0.004739336492890996,0.004739336492890996,0.0,0.1,0.1,0.0,False
ORIGINAL_GAT_M11_seed456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.6365656565656566,0.6365656565656566,0.0,0.003994027876403804,0.003994027876403804,0.0,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.2,0.2,0.0,False
ORIGINAL_GAT_M11_seed789,8435,422,1,1,0,0.0,0.0,0.5972846108140225,0.5972846108140226,1.1102230246251565e-16,0.003476746061222977,0.0034767460612229765,-4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,False
ORIGINAL_GAT_M11_seed1024,8435,422,1,1,0,0.0,0.0,0.5849524658348189,0.5849524658348187,-1.1102230246251565e-16,0.003297922433430727,0.0032979224334307275,4.336808689942018e-19,0.007390983000739098,0.007390983000739098,0.0,0.0,0.0,0.0,0.2,0.2,0.0,False
ORIGINAL_GCN_G6_seed42,8435,422,1,1,0,0.0,0.0,0.43983363042186574,0.43983363042186574,0.0,0.0020882970234002794,0.0020882970234002794,0.0,0.0011074197120708748,0.0011074197120708748,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_G6_seed123,8435,422,1,1,0,0.0,0.0,0.4408942364824718,0.4408942364824717,-5.551115123125783e-17,0.002088901721571751,0.0020889017215717513,4.336808689942018e-19,0.0011261261261261261,0.0011261261261261261,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_G6_seed456,8435,422,1,1,0,0.0,0.0,0.5571420083184789,0.5571420083184789,0.0,0.0026628218877448847,0.0026628218877448847,0.0,0.005375311960069111,0.005375311960069111,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_G6_seed789,8435,422,1,1,0,0.0,0.0,0.5578163992869876,0.5578163992869876,0.0,0.0026686742532561615,0.002668674253256162,4.336808689942018e-19,0.005384615384615384,0.005384615384615384,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_G6_seed1024,8435,422,1,1,0,0.0,0.0,0.4408674985145573,0.4408674985145573,0.0,0.002089269375843047,0.002089269375843047,0.0,0.0011242270938729624,0.0011242270938729624,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_M11_seed42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.5964705882352942,0.5964705882352941,-1.1102230246251565e-16,0.0032341004028272847,0.0032341004028272847,0.0,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.05,0.05,0.0,False
ORIGINAL_GCN_M11_seed123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7151633986928105,0.7151633986928104,-1.1102230246251565e-16,0.006282587918315216,0.006282587918315216,0.0,0.0,0.0,0.0,0.009478672985781991,0.009478672985781991,0.0,0.3,0.3,0.0,False
