condition,n_seeds,n_boot,test_n,test_positive,company_clusters,roc_auc_mean,roc_auc_sd,roc_auc_ci_low,roc_auc_ci_high,ap_mean,ap_sd,ap_ci_low,ap_ci_high,f1_val_threshold_mean,f1_val_threshold_sd,f1_val_threshold_ci_low,f1_val_threshold_ci_high,p_at_5pct_mean,p_at_5pct_sd,p_at_5pct_ci_low,p_at_5pct_ci_high,r_at_10fpr_mean,r_at_10fpr_sd,r_at_10fpr_ci_low,r_at_10fpr_ci_high
ORIGINAL_GAT_G6,5,2000,8435,20,4531,0.4833565062388591,0.026279290734096,0.45389350887940727,0.5150212242631139,0.002480518854909756,0.00018147378493942227,0.0015493460412329485,0.004561309514941983,0.0005128205128205128,0.0011467015269229692,0.0,0.001288659793814433,0.002369668246445498,0.0016756084862240464,0.0,0.006161137440758293,0.06999999999999999,0.044721359549995794,0.010526315789473684,0.15
ORIGINAL_GAT_M11,5,2000,8435,20,4531,0.6114165181224005,0.0352751581187343,0.4989323302297355,0.709311904587251,0.003943925979774205,0.0006707761908673941,0.002087702050420171,0.007788634259687875,0.00597257862261973,0.009762874791759735,0.000586929814558622,0.015260143786801683,0.002369668246445498,0.002369668246445498,0.0,0.006146572104018913,0.21000000000000002,0.07416198487095661,0.1,0.3142857142857142
ORIGINAL_GCN_G6,5,2000,8435,20,4531,0.4873107546048723,0.06405660863412364,0.46538753077635325,0.5104090457399081,0.002319592852363225,0.00031600200052224584,0.0014442298651345263,0.0038328227870865115,0.0028235400553508917,0.0023336984764890448,0.0012259371036607515,0.004785695554959837,0.0,0.0,0.0,0.0028368794326241132,0.05,0.0,0.0,0.13685855263157884
ORIGINAL_GCN_M11,5,2000,8435,20,4531,0.6428591800356507,0.06065091797592999,0.5491063752863472,0.7159402810759214,0.00434756216931449,0.0012803315810670853,0.0025026407629183834,0.00825974297486693,0.0,0.0,0.0,0.0,0.0037914691943127963,0.0035937798313040526,0.00047393364928909954,0.007565459984538332,0.18,0.1036822067666386,0.07777777777777778,0.3
ORIGINAL_MLP_M11,5,2000,8435,20,4531,0.831888294711824,0.012858824573272684,0.761538999917315,0.8930628965015767,0.010937965606419487,0.0006494880010467707,0.005265103333135684,0.027520070686270846,0.014519478674960996,0.004588317343680101,0.0011048962756647336,0.038931205972644864,0.014691943127962088,0.0030896693863519662,0.004705944964818717,0.026541860386576747,0.44000000000000006,0.022360679774997894,0.23995238095238094,0.6347953964194373
ORIGINAL_RGCN_G6,5,2000,8435,20,4531,0.466688651218063,0.04920201713810517,0.4130169525506827,0.5299415275158502,0.0022488484922293097,0.00019785197114101727,0.001368446749902578,0.003861695000690508,0.0017129926772092609,0.0017927443820013706,0.0004740251139306908,0.0033392589359222346,0.00047393364928909954,0.0010597478566349713,0.0,0.0014285714285714286,0.04,0.041833001326703784,0.0,0.09411764705882353
ORIGINAL_RGCN_M11,5,2000,8435,20,4531,0.7158027332144978,0.03138176714399224,0.598256643298314,0.8220435827139813,0.007535635926011998,0.0011208473678241222,0.003577799583269407,0.01978587733133394,0.015971088540194807,0.0022241301483199066,0.0,0.04288198729280489,0.00995260663507109,0.0010597478566349706,0.002369668246445498,0.018957345971563982,0.35,0.061237243569579464,0.1732857142857143,0.5545948616600787
ORIGINAL_SAGE_G6,5,2000,8435,20,4531,0.45915745692216275,0.05555484069557647,0.3879809764667244,0.5432156322242505,0.002166178291858346,0.0003037220605586183,0.001300036124799015,0.0035238001830548795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL_SAGE_M11,5,2000,8435,20,4531,0.7599441473559121,0.022391139772987536,0.6315781835125344,0.8656220451834491,0.008365638889707948,0.0009835058681005294,0.00418365034977563,0.018177367614843547,0.016613335422821417,0.011707892386440828,0.0032341989801045463,0.03432921351375723,0.010900473933649289,0.003179243569904914,0.0023751561954723013,0.021226415094339625,0.41,0.04183300132670379,0.19130434782608696,0.6261166007905136
REVERSE_GAT_G6,5,2000,8435,20,4531,0.6092572786690434,0.010939342165410334,0.461998988754756,0.7351231403548029,0.003927645106445022,0.0003677508949001258,0.0019114279851344465,0.008467140856824167,0.0,0.0,0.0,0.0,0.003317535545023697,0.0012979207523819102,0.0,0.008037825059101656,0.2,0.0,0.06666666666666667,0.3700357142857141
REVERSE_GAT_M11,5,2000,8435,20,4531,0.7122774806892455,0.08801900092906456,0.6407125073854029,0.7745751244758298,0.0052841779736329565,0.0025271851431531646,0.003056605508601188,0.009696366647413945,0.003525104308358165,0.002004921401997347,0.001186968987121177,0.006292377021845759,0.006161137440758294,0.00594782009384414,0.002364066193853428,0.009976840855106885,0.16999999999999998,0.19235384061671346,0.08418859649122806,0.2695760869565217
REVERSE_GCN_G6,5,2000,8435,20,4531,0.5833624480095068,0.00606126224122439,0.4436180248634595,0.7191192267255894,0.0053239357711988245,0.00014569033904600007,0.0016125568326843009,0.02086868086110478,0.0,0.0,0.0,0.0,0.0071090047393364926,0.0,0.0,0.018957345971563982,0.22999999999999998,0.0273861278752583,0.03333333333333333,0.45
REVERSE_GCN_M11,5,2000,8435,20,4531,0.818114081996435,0.01451856952192331,0.7546720267199019,0.874798631577106,0.008301840605057838,0.0009093656710046962,0.004659725315882423,0.016204431666186372,0.008573679995391104,0.002067813064939901,0.0,0.027418461986563423,0.005687203791469195,0.002701837500234924,0.0009456264775413711,0.01184904481543605,0.47000000000000003,0.0670820393249937,0.27272727272727276,0.6615624999999998
REVERSE_RGCN_G6,5,2000,8435,20,4531,0.5368407605466429,0.06736227270841288,0.4768748955576124,0.5961484569419776,0.0037647996660201215,0.0011769719855105167,0.0018282450610879139,0.011097623928821557,0.004173224736785807,0.006991185400918789,0.000523303356920212,0.011516787741248717,0.003317535545023697,0.002701837500234924,0.0,0.008551577875805903,0.12,0.08366600265340755,0.030750000000000003,0.23532085561497312
REVERSE_RGCN_M11,5,2000,8435,20,4531,0.6967153891859775,0.044227952355299215,0.5576126656403245,0.8203390369849995,0.007476353318546146,0.0007043358449400703,0.0037743334396149737,0.016019219428057833,0.015720487190513884,0.004872599862908691,0.0018779342723004694,0.03321363222692917,0.00947867298578199,0.0016756084862240461,0.0018957345971563982,0.017925587671171767,0.38999999999999996,0.06519202405202651,0.21662037037037035,0.6167499999999996
REVERSE_SAGE_G6,5,2000,8435,20,4531,0.5037082590612002,0.0868810431151146,0.4701204398180447,0.5350008024006856,0.0033106481457402964,0.0009386887703434298,0.002003574536070282,0.008182714623012708,0.0013438144572990175,0.002016176107543595,0.0002140124721932203,0.0028541044863929143,0.0018957345971563982,0.0019826066979480466,0.0004716981132075472,0.003800475059382423,0.06999999999999999,0.057008771254956896,0.02222222222222222,0.1375
REVERSE_SAGE_M11,5,2000,8435,20,4531,0.8173416518122399,0.021035354993418083,0.7458644001674263,0.8812171456954873,0.009146044357349248,0.0014334634224235213,0.004926564598143156,0.017679529173545126,0.005907044594377476,0.0054334101322289574,0.0,0.015624282686340151,0.00947867298578199,0.0023696682464454974,0.002369668246445498,0.019002375296912115,0.43999999999999995,0.09617692030835673,0.24703619909502264,0.6527046783625727
