candidate,year,rows,rule_ambiguous,joint_ambiguous,outside_candidate_set,sort_mismatches
controller_A0032_type,2010,2037,0,251,598,598
controller_A0032_type,2011,2321,0,253,603,603
controller_A0032_type,2012,2461,0,230,756,756
controller_A0032_type,2013,2459,0,222,704,704
controller_A0032_type,2014,2567,0,211,671,671
controller_A0032_type,2015,2777,0,216,696,696
controller_A0032_type,2016,2987,0,198,689,689
controller_A0032_type,2017,3415,0,197,682,682
controller_A0032_type,2018,3503,0,184,688,688
controller_A0032_type,2019,3685,0,187,750,750
controller_A0032_type,2020,4079,0,191,786,786
controller_A0032_type,2021,4540,0,186,861,861
controller_A0032_type,2022,4817,0,192,897,897
controller_A0032_type,2023,5002,0,189,939,939
controller_A0032_type,2024,5025,0,194,943,943
controller_A0007_name,2010,2037,251,251,0,0
controller_A0007_name,2011,2321,253,253,0,0
controller_A0007_name,2012,2461,230,230,0,0
controller_A0007_name,2013,2459,222,222,0,0
controller_A0007_name,2014,2567,211,211,0,0
controller_A0007_name,2015,2777,216,216,0,0
controller_A0007_name,2016,2987,198,198,0,0
controller_A0007_name,2017,3415,197,197,0,0
controller_A0007_name,2018,3503,184,184,0,0
controller_A0007_name,2019,3685,187,187,0,0
controller_A0007_name,2020,4079,191,191,0,0
controller_A0007_name,2021,4540,186,186,0,0
controller_A0007_name,2022,4817,192,192,0,0
controller_A0007_name,2023,5002,189,189,0,0
controller_A0007_name,2024,5025,194,194,0,0
