family,left,right,n_seed_pairs,n_boot,positive_auc_seed_differences,roc_auc_mean_delta,roc_auc_seed_delta_sd,roc_auc_ci_low,roc_auc_ci_high,roc_auc_bootstrap_fraction_le_zero_NOT_P_VALUE,ap_mean_delta,ap_seed_delta_sd,ap_ci_low,ap_ci_high,ap_bootstrap_fraction_le_zero_NOT_P_VALUE,f1_val_threshold_mean_delta,f1_val_threshold_seed_delta_sd,f1_val_threshold_ci_low,f1_val_threshold_ci_high,f1_val_threshold_bootstrap_fraction_le_zero_NOT_P_VALUE,p_at_5pct_mean_delta,p_at_5pct_seed_delta_sd,p_at_5pct_ci_low,p_at_5pct_ci_high,p_at_5pct_bootstrap_fraction_le_zero_NOT_P_VALUE,r_at_10fpr_mean_delta,r_at_10fpr_seed_delta_sd,r_at_10fpr_ci_low,r_at_10fpr_ci_high,r_at_10fpr_bootstrap_fraction_le_zero_NOT_P_VALUE
direction,REVERSE_GCN_M11,ORIGINAL_GCN_M11,5,2000,5,0.1752549019607843,0.05870988749606367,0.09459629485506763,0.26391139767497895,0.0005,0.003954278435743349,0.0015280776518326713,0.0005465920511118294,0.010235721594866173,0.0135,0.008573679995391104,0.002067813064939901,0.0,0.027418461986563423,0.389,0.0018957345971563986,0.004238991426539886,-0.003800475059382423,0.008983983731639271,0.2985,0.29000000000000004,0.14317821063276354,0.054545454545454564,0.49523809523809514,0.0095
direction,REVERSE_GAT_M11,ORIGINAL_GAT_M11,5,2000,5,0.10086096256684496,0.05829219049904647,-0.007620733626261386,0.2165801785937104,0.032,0.0013402519938587511,0.001944195714068778,-0.0015631410938399554,0.004323238792479031,0.1335,-0.002447474314261565,0.009384119743764392,-0.012389345483668386,0.0036309082199529534,0.634,0.0037914691943127963,0.0054553859873086915,-0.0014184397163120566,0.008056872037914692,0.077,-0.040000000000000036,0.16355427233796127,-0.15833333333333333,0.0933333333333333,0.72
direction,REVERSE_SAGE_M11,ORIGINAL_SAGE_M11,5,2000,5,0.05739750445632785,0.026653496991065746,0.0035842264493806536,0.12475175121524407,0.017,0.0007804054676413003,0.0008032754932866068,-0.0022385258066637873,0.0029069088215547376,0.275,-0.01070629082844394,0.011593785961413984,-0.024707826001910658,0.00036786607487449143,0.967,-0.0014218009478672994,0.0027018375002349233,-0.003317535545023698,0.0018957345971563969,0.7955,0.02999999999999997,0.09082951062292476,-0.04999999999999993,0.16249999999999998,0.2365
direction,REVERSE_RGCN_M11,ORIGINAL_RGCN_M11,5,2000,3,-0.019087344028520303,0.07304657638011734,-0.10211861665259322,0.0574909351129724,0.6985,-5.928260746585184e-05,0.0011481977397587747,-0.0074250564932392595,0.004905944186727653,0.5755,-0.0002506013496809227,0.004401639317657173,-0.026275457935992348,0.022359784422524263,0.522,-0.00047393364928910095,0.0019826066979480458,-0.005700712589073635,0.004728132387706857,0.651,0.03999999999999998,0.09617692030835674,-0.06000000000000005,0.17647058823529405,0.246
direction,REVERSE_GCN_G6,ORIGINAL_GCN_G6,5,2000,5,0.09605169340463449,0.06156817520069583,-0.03320410057100674,0.22053483264174795,0.069,0.0030043429188355997,0.0003150382715772301,-0.00031104649156942,0.01793577089483056,0.0785,-0.0028235400553508917,0.0023336984764890448,-0.004785695554959839,-0.0012259371036607515,1.0,0.0071090047393364926,0.0,0.0,0.018957345971563982,0.136,0.18,0.0273861278752583,-0.023566176470588233,0.4000000000000001,0.054
direction,REVERSE_GAT_G6,ORIGINAL_GAT_G6,5,2000,5,0.12590077243018433,0.02438582305108676,-0.011828917722585725,0.24176593123923407,0.038,0.0014471262515352657,0.0003723406234717207,2.07208038710664e-05,0.004582209965648528,0.023,-0.0005128205128205128,0.0011467015269229692,-0.001288659793814433,0.0,1.0,0.0009478672985781993,0.002119495713269943,-0.0028368794326241132,0.005687203791469194,0.438,0.13,0.044721359549995794,0.019976190476190453,0.2727272727272727,0.013
direction,REVERSE_SAGE_G6,ORIGINAL_SAGE_G6,5,2000,3,0.04455080213903745,0.10867967830804137,-0.030060567902975156,0.10921517889855703,0.1055,0.0011444698538819503,0.0011245528328400686,0.0003737498712584652,0.00550545344390865,0.0015,0.0013438144572990175,0.002016176107543595,0.0002140124721932203,0.0028541044863929143,0.0205,0.0018957345971563982,0.0019826066979480466,0.0004716981132075472,0.003800475059382423,0.018,0.06999999999999999,0.057008771254956896,0.02222222222222222,0.1375,0.001
direction,REVERSE_RGCN_G6,ORIGINAL_RGCN_G6,5,2000,4,0.07015210932857985,0.09175503257173656,0.006712032045221234,0.12490345965998685,0.016,0.0015159511737908118,0.0010499709455757682,0.0002262053004949433,0.008098850550119734,0.004,0.0024602320595765465,0.00633814569214093,-0.0017523503022187756,0.00989663204149083,0.318,0.0028436018957345975,0.0030896693863519662,0.0,0.007600950118764846,0.1215,0.07999999999999999,0.07582875444051551,0.0,0.18666666666666665,0.0355
MLP_comparison,ORIGINAL_MLP_M11,REVERSE_GCN_M11,5,2000,4,0.013774212715389034,0.026398307172295635,-0.03300383219086006,0.05664278945939536,0.272,0.0026361250013616482,0.0013301829253220183,-0.0038142010564410356,0.0163116626055261,0.1775,0.005945798679569892,0.0036634579781575135,-0.018309285739698967,0.03520690686696083,0.3085,0.009004739336492894,0.004558147881912641,-0.0018867924528301883,0.02085431887516745,0.0565,-0.02999999999999997,0.07582875444051551,-0.18181818181818177,0.16,0.5765
MLP_comparison,ORIGINAL_MLP_M11,REVERSE_GAT_M11,5,2000,5,0.11961081402257856,0.07819506101549754,0.08751195037469112,0.14795859031725137,0.0,0.00565378763278653,0.002219278724559572,0.0018036733384839065,0.01874282789815687,0.0,0.010994374366602831,0.0043747709278648935,-0.0015035261631100377,0.034560252154695624,0.108,0.008530805687203793,0.0054553859873086915,0.0009501187648456059,0.017925587671171767,0.01,0.2700000000000001,0.18907670401189036,0.10586687306501544,0.43333333333333335,0.0005
MLP_comparison,ORIGINAL_MLP_M11,REVERSE_SAGE_M11,5,2000,4,0.014546642899584072,0.03229158793623051,-0.011987084473228174,0.039813659468316484,0.1365,0.0017919212490702385,0.0019922880187609724,-0.0014614452034563848,0.01218175592407305,0.1595,0.00861243408058352,0.008448481709128777,-0.0035420390565036645,0.02519838138051122,0.1115,0.005213270142180098,0.004238991426539886,-0.000945626477541371,0.010961590296495904,0.068,1.1102230246251565e-16,0.08660254037844385,-0.125,0.10526315789473678,0.5505
MLP_comparison,ORIGINAL_MLP_M11,REVERSE_RGCN_M11,5,2000,5,0.1351729055258465,0.04240347309877372,0.05327978257645784,0.21542565522604412,0.0,0.003461612287873341,0.001278945313864862,-0.002881900913816868,0.016171334057841887,0.1265,-0.0012010085155528885,0.00607402757296691,-0.022443636811691207,0.024770240654476135,0.5485,0.005213270142180098,0.00455814788191264,-0.002837047494201878,0.015201900237529691,0.1275,0.0500000000000001,0.06123724356957946,-0.14285714285714288,0.2154166666666665,0.2985
