block,table,source_fiscal_lag,partition,label_group,denominator_panel_rows,source_row_found,anchor_known,ann_date_known,f_ann_date_known,ann_date_after_anchor,f_ann_date_after_anchor,either_recorded_date_after_anchor,selected_update_flag_1,tied_max_selection,prior_dated_record_exists_in_current_snapshot,denominator_dated_selected_rows,post_anchor_fraction_among_dated,scope
fin,balancesheet,0,outside_primary,null,10027,9764,9283,9764,9764,1,127,127,4983,37,9068,9070,0.014002205071664829,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,test,negative,8415,8217,8415,8217,8217,5,301,301,4500,16,8093,8217,0.03663137398077157,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,test,null,922,873,29,873,873,0,8,8,508,0,26,29,0.27586206896551724,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,test,positive,20,20,20,20,20,0,12,12,11,0,13,20,0.6,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,train,negative,23852,23347,23852,23347,23347,5,863,863,23322,15,22583,23347,0.03696406390542682,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,train,null,421,380,128,380,380,1,31,31,379,0,91,121,0.256198347107438,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,train,positive,254,240,254,240,240,0,84,84,240,0,168,240,0.35,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,validation,negative,7269,7083,7269,7083,7083,4,222,222,7083,12,6877,7083,0.031342651418890304,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,validation,null,455,427,47,427,427,1,12,12,425,0,34,46,0.2608695652173913,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,0,validation,positive,40,40,40,40,40,0,16,16,40,0,26,40,0.4,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,outside_primary,null,10027,9796,9283,9796,9796,0,84,84,9771,58,9070,9071,0.009260280013228971,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,test,negative,8415,8218,8415,8218,8218,0,54,54,4492,45,8195,8218,0.006570941834996349,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,test,null,922,890,29,890,890,0,3,3,444,1,27,29,0.10344827586206896,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,test,positive,20,20,20,20,20,0,2,2,14,0,19,20,0.1,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,train,negative,23852,23328,23852,23328,23328,0,337,337,23296,10,23054,23328,0.014446159122085049,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,train,null,421,397,128,397,397,0,23,23,396,0,98,121,0.19008264462809918,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,train,positive,254,240,254,240,240,0,56,56,239,0,191,240,0.23333333333333334,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,validation,negative,7269,7081,7269,7081,7081,0,155,155,7081,10,6963,7081,0.02188956362095749,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,validation,null,455,438,47,438,438,0,11,11,438,0,38,46,0.2391304347826087,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,1,validation,positive,40,40,40,40,40,0,10,10,40,0,32,40,0.25,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,outside_primary,null,10027,9784,9283,9784,9784,0,28,28,5511,71,9051,9051,0.0030935808197989174,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,test,negative,8415,8218,8415,8218,8218,0,31,31,8175,42,8202,8218,0.0037722073497201266,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,test,null,922,898,29,898,898,0,3,3,897,2,26,29,0.10344827586206896,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,test,positive,20,20,20,20,20,0,3,3,20,0,17,20,0.15,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,train,negative,23852,22948,23852,22948,22948,0,176,176,22731,6,22809,22948,0.007669513683109639,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,train,null,421,404,128,404,404,0,18,18,402,0,103,121,0.1487603305785124,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,train,positive,254,236,254,236,236,0,28,28,235,0,212,236,0.11864406779661017,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,validation,negative,7269,7081,7269,7081,7081,0,98,98,7080,9,7036,7081,0.013839853128089254,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,validation,null,455,441,47,441,441,0,4,4,441,0,44,46,0.08695652173913043,selection replay on available DB; frozen-value binding is assessed separately
fin,balancesheet,2,validation,positive,40,40,40,40,40,0,8,8,40,0,38,40,0.2,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,outside_primary,null,10027,9784,9283,9784,9784,1,114,114,8962,71,9012,9084,0.012549537648612946,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,test,negative,8415,8231,8415,8231,8231,5,274,274,8193,14,8062,8231,0.03328878629571134,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,test,null,922,880,29,880,880,0,8,8,873,2,25,29,0.27586206896551724,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,test,positive,20,20,20,20,20,0,13,13,20,0,10,20,0.65,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,train,negative,23852,23386,23852,23386,23386,5,753,753,2939,2,22715,23386,0.032198751389720344,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,train,null,421,381,128,381,381,1,30,30,80,0,92,121,0.24793388429752067,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,train,positive,254,240,254,240,240,0,84,84,70,0,166,240,0.35,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,validation,negative,7269,7097,7269,7097,7097,4,264,264,7011,6,6879,7097,0.037198816401296325,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,validation,null,455,428,47,428,428,1,12,12,409,0,39,46,0.2608695652173913,selection replay on available DB; frozen-value binding is assessed separately
fin,income,0,validation,positive,40,40,40,40,40,0,22,22,36,0,29,40,0.55,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,outside_primary,null,10027,9816,9283,9816,9816,0,89,89,9627,84,9048,9084,0.009797446059004844,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,test,negative,8415,8232,8415,8232,8232,0,71,71,8231,55,8205,8232,0.008624878522837706,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,test,null,922,898,29,898,898,0,7,7,895,2,26,29,0.2413793103448276,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,test,positive,20,20,20,20,20,0,5,5,20,0,19,20,0.25,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,train,negative,23852,23391,23852,23391,23391,0,292,292,246,0,23155,23391,0.012483433799324527,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,train,null,421,397,128,397,397,0,24,24,20,0,97,121,0.19834710743801653,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,train,positive,254,240,254,240,240,0,58,58,38,0,189,240,0.24166666666666667,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,validation,negative,7269,7095,7269,7095,7095,0,158,158,6413,4,6981,7095,0.0222692036645525,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,validation,null,455,439,47,439,439,0,11,11,348,0,38,46,0.2391304347826087,selection replay on available DB; frozen-value binding is assessed separately
fin,income,1,validation,positive,40,40,40,40,40,0,12,12,36,0,35,40,0.3,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,outside_primary,null,10027,9802,9283,9802,9802,0,12,12,9741,89,9063,9063,0.0013240648791790798,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,test,negative,8415,8232,8415,8232,8232,0,54,54,8145,25,8216,8232,0.006559766763848397,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,test,null,922,906,29,906,906,0,5,5,873,2,29,29,0.1724137931034483,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,test,positive,20,20,20,20,20,0,6,6,19,0,19,20,0.3,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,train,negative,23852,23398,23852,23398,23398,0,157,157,166,0,23277,23398,0.006709975211556543,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,train,null,421,405,128,405,405,0,18,18,13,0,103,121,0.1487603305785124,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,train,positive,254,240,254,240,240,0,30,30,23,0,214,240,0.125,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,validation,negative,7269,7094,7269,7094,7094,0,86,86,3291,2,7046,7094,0.012122920778122357,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,validation,null,455,442,47,442,442,0,3,3,245,0,44,46,0.06521739130434782,selection replay on available DB; frozen-value binding is assessed separately
fin,income,2,validation,positive,40,40,40,40,40,0,7,7,23,0,37,40,0.175,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,outside_primary,null,10027,9764,9283,9764,9764,1,103,103,9561,0,8996,9066,0.011361129494815795,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,test,negative,8415,8213,8415,8213,8213,5,155,155,8095,0,8148,8213,0.018872519176914647,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,test,null,922,877,29,877,877,0,4,4,863,1,26,28,0.14285714285714285,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,test,positive,20,20,20,20,20,0,7,7,20,0,19,20,0.35,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,train,negative,23852,23325,23852,23325,23325,5,372,372,3603,0,22977,23325,0.01594855305466238,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,train,null,421,382,128,382,382,1,17,17,133,0,106,122,0.13934426229508196,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,train,positive,254,240,254,240,240,0,40,40,92,0,201,240,0.16666666666666666,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,validation,negative,7269,7078,7269,7078,7078,4,133,133,7075,0,6945,7078,0.01879061881887539,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,validation,null,455,431,47,431,431,1,7,7,429,0,40,47,0.14893617021276595,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,0,validation,positive,40,40,40,40,40,0,15,15,40,0,25,40,0.375,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,outside_primary,null,10027,9796,9283,9796,9796,0,60,60,9568,36,9053,9066,0.0066181336863004635,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,test,negative,8415,8215,8415,8215,8215,0,17,17,8198,45,8201,8215,0.0020693852708460136,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,test,null,922,895,29,895,895,0,2,2,892,0,26,28,0.07142857142857142,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,test,positive,20,20,20,20,20,0,3,3,20,0,18,20,0.15,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,train,negative,23852,23327,23852,23327,23327,0,107,107,401,0,23242,23327,0.004586959317529044,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,train,null,421,400,128,400,400,0,8,8,28,0,114,122,0.06557377049180328,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,train,positive,254,240,254,240,240,0,22,22,50,0,219,240,0.09166666666666666,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,validation,negative,7269,7077,7269,7077,7077,0,68,68,7063,0,7012,7077,0.009608591210965097,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,validation,null,455,442,47,442,442,0,6,6,434,0,42,47,0.1276595744680851,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,1,validation,positive,40,40,40,40,40,0,8,8,40,0,32,40,0.2,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,outside_primary,null,10027,9781,9283,9781,9781,0,2,2,9595,74,9045,9045,0.0002211166390270868,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,test,negative,8415,8216,8415,8216,8216,0,12,12,8212,13,8204,8216,0.0014605647517039922,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,test,null,922,903,29,903,903,0,1,1,900,0,27,28,0.03571428571428571,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,test,positive,20,20,20,20,20,0,2,2,20,0,18,20,0.1,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,train,negative,23852,23330,23852,23330,23330,0,52,52,279,0,23294,23330,0.002228889841405915,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,train,null,421,408,128,408,408,0,4,4,15,0,118,122,0.03278688524590164,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,train,positive,254,240,254,240,240,0,6,6,28,0,234,240,0.025,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,validation,negative,7269,7076,7269,7076,7076,0,41,41,3966,0,7043,7076,0.0057942340305257205,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,validation,null,455,445,47,445,445,0,2,2,341,0,46,47,0.0425531914893617,selection replay on available DB; frozen-value binding is assessed separately
fin,cashflow,2,validation,positive,40,40,40,40,40,0,5,5,29,0,36,40,0.125,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,outside_primary,null,10027,9950,9283,9950,0,1,0,1,0,1163,9249,9250,0.00010810810810810811,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,test,negative,8415,8383,8415,8383,0,5,0,5,0,8350,8378,8383,0.0005964451866873435,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,test,null,922,893,29,893,0,0,0,0,0,889,29,29,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,test,positive,20,20,20,20,0,0,0,0,0,19,20,20,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,train,negative,23852,19640,23852,19640,0,5,0,5,0,19545,19635,19640,0.0002545824847250509,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,train,null,421,374,128,374,0,1,0,1,0,373,114,115,0.008695652173913044,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,train,positive,254,227,254,227,0,0,0,0,0,222,227,227,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,validation,negative,7269,7238,7269,7238,0,4,0,4,0,7208,7234,7238,0.0005526388505111909,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,validation,null,455,440,47,440,0,1,0,1,0,439,46,47,0.02127659574468085,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,0,validation,positive,40,40,40,40,0,0,0,0,0,36,40,40,0.0,selection replay on available DB; frozen-value binding is assessed separately
