feature,block,partition,label_group,denominator_rows,finite_values_compared,finite_values_matching_frozen,both_missing,replay_missing_frozen_zero,other_value_mismatch,matching_value_complete_dated_untied_inputs,matching_value_post_anchor_input,matching_post_anchor_without_prior_candidate_in_snapshot,selection_tied_rows,rtol,atol
fin_dsri_t0,fin,outside_primary,null,10027,9714,9714,313,0,0,8883,106,84,151,1e-05,1e-06
fin_dsri_t0,fin,test,negative,8415,8166,8166,249,0,0,8083,355,234,86,1e-05,1e-06
fin_dsri_t0,fin,test,null,922,864,864,58,0,0,29,12,9,4,1e-05,1e-06
fin_dsri_t0,fin,test,positive,20,20,20,0,0,0,20,13,11,0,1e-05,1e-06
fin_dsri_t0,fin,train,negative,23852,22968,22968,884,0,0,22953,993,903,15,1e-05,1e-06
fin_dsri_t0,fin,train,null,421,371,371,50,0,0,118,40,39,0,1e-05,1e-06
fin_dsri_t0,fin,train,positive,254,235,235,19,0,0,235,96,83,0,1e-05,1e-06
fin_dsri_t0,fin,validation,negative,7269,7024,7024,245,0,0,7012,341,289,12,1e-05,1e-06
fin_dsri_t0,fin,validation,null,455,424,424,31,0,0,46,17,16,0,1e-05,1e-06
fin_dsri_t0,fin,validation,positive,40,40,40,0,0,0,40,24,22,0,1e-05,1e-06
fin_mscore_t0,fin,outside_primary,null,10027,9667,9667,360,0,0,8840,121,97,154,1e-05,1e-06
fin_mscore_t0,fin,test,negative,8415,8102,8102,313,0,0,8021,365,244,89,1e-05,1e-06
fin_mscore_t0,fin,test,null,922,858,858,64,0,0,27,11,9,4,1e-05,1e-06
fin_mscore_t0,fin,test,positive,20,19,19,1,0,0,19,12,10,0,1e-05,1e-06
fin_mscore_t0,fin,train,negative,23852,22806,22806,1046,0,0,22789,1038,961,15,1e-05,1e-06
fin_mscore_t0,fin,train,null,421,369,369,52,0,0,116,40,39,0,1e-05,1e-06
fin_mscore_t0,fin,train,positive,254,235,235,19,0,0,235,97,87,0,1e-05,1e-06
fin_mscore_t0,fin,validation,negative,7269,6972,6972,297,0,0,6960,339,290,12,1e-05,1e-06
fin_mscore_t0,fin,validation,null,455,420,420,35,0,0,44,16,16,0,1e-05,1e-06
fin_mscore_t0,fin,validation,positive,40,37,37,3,0,0,37,22,20,0,1e-05,1e-06
fin_ocf_to_ni_t0,fin,outside_primary,null,10027,9748,9748,279,0,0,8984,94,86,71,1e-05,1e-06
fin_ocf_to_ni_t0,fin,test,negative,8415,8198,8198,217,0,0,8184,301,191,14,1e-05,1e-06
fin_ocf_to_ni_t0,fin,test,null,922,877,877,45,0,0,28,8,5,2,1e-05,1e-06
fin_ocf_to_ni_t0,fin,test,positive,20,20,20,0,0,0,20,13,10,0,1e-05,1e-06
fin_ocf_to_ni_t0,fin,train,negative,23852,23214,23214,638,0,0,23212,831,758,2,1e-05,1e-06
fin_ocf_to_ni_t0,fin,train,null,421,379,379,42,0,0,121,33,32,0,1e-05,1e-06
fin_ocf_to_ni_t0,fin,train,positive,254,237,237,17,0,0,237,83,76,0,1e-05,1e-06
fin_ocf_to_ni_t0,fin,validation,negative,7269,7063,7063,206,0,0,7057,277,235,6,1e-05,1e-06
fin_ocf_to_ni_t0,fin,validation,null,455,428,428,27,0,0,46,12,9,0,1e-05,1e-06
fin_ocf_to_ni_t0,fin,validation,positive,40,40,40,0,0,0,40,23,17,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,outside_primary,null,10027,9619,9619,408,0,0,8901,103,2,37,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,test,negative,8415,8061,8061,354,0,0,8047,275,115,16,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,test,null,922,869,869,53,0,0,29,8,3,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,test,positive,20,18,18,2,0,0,18,11,7,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,train,negative,23852,23257,23257,595,0,0,23242,821,743,15,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,train,null,421,374,374,47,0,0,118,28,27,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,train,positive,254,239,239,15,0,0,239,83,71,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,validation,negative,7269,6921,6921,348,0,0,6910,192,183,12,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,validation,null,455,421,421,34,0,0,44,11,11,0,1e-05,1e-06
fin_oth_recv_to_ta_t0,fin,validation,positive,40,37,37,3,0,0,37,13,11,0,1e-05,1e-06
fin_dsri_t1,fin,outside_primary,null,10027,9718,9718,309,0,0,8806,78,35,202,1e-05,1e-06
fin_dsri_t1,fin,test,negative,8415,8152,8152,263,0,0,8060,90,41,94,1e-05,1e-06
fin_dsri_t1,fin,test,null,922,884,884,38,0,0,29,8,5,3,1e-05,1e-06
fin_dsri_t1,fin,test,positive,20,20,20,0,0,0,20,7,5,0,1e-05,1e-06
fin_dsri_t1,fin,train,negative,23852,22577,22577,1275,0,0,22567,368,308,10,1e-05,1e-06
fin_dsri_t1,fin,train,null,421,384,384,37,0,0,117,29,29,0,1e-05,1e-06
fin_dsri_t1,fin,train,positive,254,230,230,24,0,0,230,62,55,0,1e-05,1e-06
fin_dsri_t1,fin,validation,negative,7269,7012,7012,257,0,0,7002,191,145,10,1e-05,1e-06
fin_dsri_t1,fin,validation,null,455,434,434,21,0,0,46,13,9,0,1e-05,1e-06
fin_dsri_t1,fin,validation,positive,40,39,39,1,0,0,39,16,11,0,1e-05,1e-06
fin_mscore_t1,fin,outside_primary,null,10027,9649,9649,378,0,0,8754,78,34,210,1e-05,1e-06
fin_mscore_t1,fin,test,negative,8415,8074,8074,341,0,0,7987,84,42,98,1e-05,1e-06
fin_mscore_t1,fin,test,null,922,878,878,44,0,0,27,8,5,3,1e-05,1e-06
fin_mscore_t1,fin,test,positive,20,19,19,1,0,0,19,6,6,0,1e-05,1e-06
fin_mscore_t1,fin,train,negative,23852,22416,22416,1436,0,0,22403,364,310,10,1e-05,1e-06
fin_mscore_t1,fin,train,null,421,383,383,38,0,0,117,29,29,0,1e-05,1e-06
fin_mscore_t1,fin,train,positive,254,230,230,24,0,0,230,62,57,0,1e-05,1e-06
fin_mscore_t1,fin,validation,negative,7269,6963,6963,306,0,0,6953,187,147,10,1e-05,1e-06
fin_mscore_t1,fin,validation,null,455,430,430,25,0,0,44,13,9,0,1e-05,1e-06
fin_mscore_t1,fin,validation,positive,40,37,37,3,0,0,37,15,11,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,outside_primary,null,10027,9779,9779,248,0,0,8966,71,36,89,1e-05,1e-06
fin_ocf_to_ni_t1,fin,test,negative,8415,8198,8198,217,0,0,8139,70,32,59,1e-05,1e-06
fin_ocf_to_ni_t1,fin,test,null,922,895,895,27,0,0,28,7,4,2,1e-05,1e-06
fin_ocf_to_ni_t1,fin,test,positive,20,20,20,0,0,0,20,5,3,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,train,negative,23852,23208,23208,644,0,0,23208,303,251,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,train,null,421,396,396,25,0,0,120,24,24,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,train,positive,254,239,239,15,0,0,239,58,53,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,validation,negative,7269,7062,7062,207,0,0,7058,162,124,4,1e-05,1e-06
fin_ocf_to_ni_t1,fin,validation,null,455,439,439,16,0,0,46,11,8,0,1e-05,1e-06
fin_ocf_to_ni_t1,fin,validation,positive,40,40,40,0,0,0,40,12,9,0,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,outside_primary,null,10027,9589,9589,438,0,0,8819,58,1,58,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,test,negative,8415,7900,7900,515,0,0,7870,45,19,45,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,test,null,922,868,868,54,0,0,25,3,2,1,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,test,positive,20,18,18,2,0,0,18,2,1,0,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,train,negative,23852,23280,23280,572,0,0,23270,316,264,10,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,train,null,421,396,396,25,0,0,120,22,22,0,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,train,positive,254,240,240,14,0,0,240,56,49,0,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,validation,negative,7269,6862,6862,407,0,0,6852,129,103,10,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,validation,null,455,399,399,56,0,0,45,11,8,0,1e-05,1e-06
fin_oth_recv_to_ta_t1,fin,validation,positive,40,38,38,2,0,0,38,9,7,0,1e-05,1e-06
fin_zscore_t0,fin,outside_primary,null,10027,9688,9688,339,0,0,8957,99,71,81,1e-05,1e-06
fin_zscore_t0,fin,test,negative,8415,8204,8204,211,0,0,8180,340,223,25,1e-05,1e-06
fin_zscore_t0,fin,test,null,922,865,865,57,0,0,29,9,6,2,1e-05,1e-06
fin_zscore_t0,fin,test,positive,20,20,20,0,0,0,20,13,11,0,1e-05,1e-06
fin_zscore_t0,fin,train,negative,23852,23275,23275,577,0,0,23260,972,882,15,1e-05,1e-06
fin_zscore_t0,fin,train,null,421,367,367,54,0,0,121,34,33,0,1e-05,1e-06
fin_zscore_t0,fin,train,positive,254,240,240,14,0,0,240,91,79,0,1e-05,1e-06
fin_zscore_t0,fin,validation,negative,7269,7072,7072,197,0,0,7060,298,254,12,1e-05,1e-06
fin_zscore_t0,fin,validation,null,455,415,415,40,0,0,46,13,12,0,1e-05,1e-06
fin_zscore_t0,fin,validation,positive,40,40,40,0,0,0,40,22,17,0,1e-05,1e-06
fini_current_ratio_t0,fini,outside_primary,null,10027,9834,9822,191,0,14,8150,1,1,1163,1e-05,1e-06
fini_current_ratio_t0,fini,test,negative,8415,8282,8189,133,0,93,33,0,0,8350,1e-05,1e-06
fini_current_ratio_t0,fini,test,null,922,884,879,38,0,5,1,0,0,889,1e-05,1e-06
fini_current_ratio_t0,fini,test,positive,20,20,18,0,0,2,1,0,0,19,1e-05,1e-06
fini_current_ratio_t0,fini,train,negative,23852,19394,19349,4458,0,45,95,0,0,19545,1e-05,1e-06
fini_current_ratio_t0,fini,train,null,421,371,371,50,0,0,0,0,0,373,1e-05,1e-06
fini_current_ratio_t0,fini,train,positive,254,219,218,35,0,1,5,0,0,222,1e-05,1e-06
fini_current_ratio_t0,fini,validation,negative,7269,7148,7102,121,0,46,30,0,0,7208,1e-05,1e-06
fini_current_ratio_t0,fini,validation,null,455,431,430,24,0,1,1,0,0,439,1e-05,1e-06
fini_current_ratio_t0,fini,validation,positive,40,40,36,0,0,4,4,0,0,36,1e-05,1e-06
