block,partition,label_group,denominator_rows,any_matched_dated_post_anchor,any_value_mismatch,any_unverified_feature,any_no_prior_candidate
fin,outside_primary,null,10027,159,0,1567,101
fin,test,negative,8415,403,0,771,266
fin,test,null,922,12,0,899,10
fin,test,positive,20,14,0,4,12
fin,train,negative,23852,1108,0,1667,1015
fin,train,null,421,46,0,308,45
fin,train,positive,254,100,0,30,90
fin,validation,negative,7269,368,0,615,315
fin,validation,null,455,17,0,413,17
fin,validation,positive,40,24,0,5,22
fini,outside_primary,null,10027,1,333,6515,1
fini,test,negative,8415,0,255,8409,0
fini,test,null,922,0,13,922,0
fini,test,positive,20,0,8,20,0
fini,train,negative,23852,0,123,23849,0
fini,train,null,421,0,0,421,0
fini,train,positive,254,0,3,253,0
fini,validation,negative,7269,0,128,7264,0
fini,validation,null,455,0,2,455,0
fini,validation,positive,40,0,6,37,0
