feature,changed_rows,changed_fraction,asof_missing,frozen_missing
fin_dsri_t0,4081,0.07897435897435898,5703,1849
fin_dsri_t0_zind,39197,0.7585292694726657,10273,7004
fin_dsri_t1,3055,0.05911949685534591,5102,2225
fin_dsri_t1_zind,33643,0.6510498306724721,9833,7396
fin_mscore_t0,4344,0.08406386066763426,6123,2190
fin_mscore_t0_zind,39673,0.76774068698597,10582,7236
fin_mscore_t1,3202,0.061964199322689886,5454,2596
fin_mscore_t1_zind,33912,0.656255442670537,10081,7657
fin_ocf_to_ni_t0,3853,0.07456216739235608,5100,1471
fin_ocf_to_ni_t0_zind,38565,0.7462989840348331,9794,6700
fin_ocf_to_ni_t1,3000,0.05805515239477504,4218,1399
fin_ocf_to_ni_t1_zind,33845,0.6549588776003871,9105,6706
fin_oth_recv_to_ta_t0,3662,0.0708659893565554,5170,1859
fin_oth_recv_to_ta_t0_zind,38242,0.7400483792936623,9889,7064
fin_oth_recv_to_ta_t1,2842,0.054997581035316885,4738,2085
fin_oth_recv_to_ta_t1_zind,32862,0.6359361393323657,9613,7372
fin_zscore_t0,4079,0.07893565553942912,5204,1489
fin_zscore_t0_zind,39519,0.7647605224963715,9897,6691
fini_adminexp_of_gr_t0,2389,0.04623125302370586,6718,4489
fini_assets_to_eqt_t0,2385,0.046153846153846156,7004,4848
fini_assets_to_eqt_t0_zind,28875,0.5587808417997098,11597,9474
fini_assets_to_eqt_t1,2438,0.04717948717948718,9286,7071
fini_assets_turn_t0,2487,0.048127721335268506,6709,4480
fini_assets_turn_t0_zind,29100,0.5631349782293179,11429,9314
fini_assets_turn_t1,2538,0.04911465892597968,9074,6790
fini_assets_yoy_t0,2447,0.0473536526366715,6703,4472
fini_bps_yoy_t0,2484,0.04806966618287373,6706,4476
fini_ca_to_assets_t0,2413,0.04669569424286405,7572,5372
fini_ca_turn_t0,2417,0.04677310111272375,7577,5378
fini_cash_ratio_t0,2494,0.04826318335752298,7573,5373
fini_current_ratio_t0,2399,0.04642477019835511,7258,5051
fini_current_ratio_t0_zind,28444,0.550440251572327,11926,9833
fini_current_ratio_t1,2443,0.0472762457668118,9587,7327
fini_currentdebt_to_debt_t0,2355,0.045573294629898405,7573,5373
fini_debt_to_eqt_t0,2379,0.046037735849056606,7014,4863
fini_debt_to_eqt_t0_zind,28867,0.5586260280599903,11602,9480
fini_debt_to_eqt_t1,2434,0.04710208030962748,9290,7078
fini_dt_eps_yoy_t0,2336,0.045205611998064825,7574,5400
fini_ebit_of_gr_t0,2454,0.04748911465892598,7583,5384
fini_ebit_of_gr_t0_zind,28702,0.5554329946782777,12304,10218
fini_ebt_yoy_t0,2455,0.047508466376390904,6703,4470
fini_eqt_to_debt_t0,2466,0.04772133526850508,6704,4474
fini_eqt_to_interestdebt_t0,2192,0.04241896468311562,12091,10133
fini_eqt_to_talcapital_t0,2386,0.04617319787131108,7681,5528
fini_equity_yoy_t0,2469,0.047779390420899855,6703,4475
