bin,lower,upper,raw_n,raw_mean_pred,raw_observed_rate,platt_n,platt_mean_pred,platt_observed_rate
1,0.0,0.06666666666666667,0,,,8427,0.0050575343112824345,0.0023733238400379733
2,0.06666666666666667,0.13333333333333333,2,0.10761652778601274,0.0,1,0.09969072197696509,0.0
3,0.13333333333333333,0.2,18,0.17591596780758767,0.0,1,0.1337878285266388,0.0
4,0.2,0.26666666666666666,77,0.24161582459490022,0.0,3,0.24068560372779935,0.0
5,0.26666666666666666,0.3333333333333333,319,0.3056514742979809,0.0,0,,
6,0.3333333333333333,0.4,1034,0.37393267906380806,0.0,1,0.3703972982103813,0.0
7,0.4,0.4666666666666667,2520,0.4362177144381262,0.0,2,0.442470949684005,0.0
8,0.4666666666666667,0.5333333333333333,2208,0.4967429182991601,0.0022644927536231885,0,,
9,0.5333333333333333,0.6,1173,0.5626992659673462,0.0025575447570332483,0,,
10,0.6,0.6666666666666666,564,0.6295214490370548,0.008865248226950355,0,,
11,0.6666666666666666,0.7333333333333333,294,0.6975934106476452,0.02040816326530612,0,,
12,0.7333333333333333,0.8,135,0.763377122702422,0.0,0,,
13,0.8,0.8666666666666667,62,0.8292407139655081,0.016129032258064516,0,,
14,0.8666666666666667,0.9333333333333333,14,0.8825079228196825,0.0,0,,
15,0.9333333333333333,1.0,15,0.9827815208616131,0.0,0,,
