family,label,left,right,modal,roc_auc_observed_delta,roc_auc_bootstrap_ci_lo,roc_auc_bootstrap_ci_hi,roc_auc_bootstrap_prob_delta_le_0,ap_observed_delta,ap_bootstrap_ci_lo,ap_bootstrap_ci_hi,ap_bootstrap_prob_delta_le_0,f1_observed_delta,f1_bootstrap_ci_lo,f1_bootstrap_ci_hi,f1_bootstrap_prob_delta_le_0,p_at_5pct_observed_delta,p_at_5pct_bootstrap_ci_lo,p_at_5pct_bootstrap_ci_hi,p_at_5pct_bootstrap_prob_delta_le_0,r_at_10fpr_observed_delta,r_at_10fpr_bootstrap_ci_lo,r_at_10fpr_bootstrap_ci_hi,r_at_10fpr_bootstrap_prob_delta_le_0,model,tabular_model
architecture,label_v1_strict_ab_primary,MLP_M5,GCN_M5,M5,0.17967914438502675,0.06781878008517281,0.3236091681500541,0.0035,0.003505341225030134,0.0008324522521139081,0.009965169323747759,0.003,0.011229872181623333,0.0018696725511751144,0.023113432868933362,0.0,0.005687203791469195,-0.00047393364928909954,0.012766713723908434,0.0615,0.22999999999999998,0.04285714285714286,0.4154166666666665,0.011,,
architecture,label_v1_strict_ab_primary,MLP_M5,GAT_M5,M5,0.16773915626856806,0.061788239804376616,0.2789382006938807,0.0035,0.002745859045603839,0.0004897673058787169,0.0075583692427196566,0.0065,0.01010863882493097,0.0010827340712335526,0.02148083358816204,0.002,0.002843601895734598,-0.0018912529550827422,0.008086373414601299,0.173,0.12,-0.04350241545893714,0.2750297619047618,0.0695,,
architecture,label_v1_strict_ab_primary,MLP_M5,SAGE_M5,M5,0.07116458704694018,0.005372643252131758,0.15490514448614678,0.0135,0.0011836044827450432,-0.00018288755232482654,0.003793477091407323,0.0485,0.010168864224063651,0.0018696725511751144,0.021621793576248848,0.0,0.0014218009478672994,-0.0009478672985781991,0.00424553392211963,0.2155,0.019999999999999962,-0.09230769230769234,0.12499999999999994,0.4095,,
architecture,label_v1_strict_ab_primary,MLP_M5,RGCN_M5,M5,0.1123291740938801,0.03479984569735576,0.1954012149295305,0.0025,0.0014199681204415037,-0.004484663238372408,0.005554282784749344,0.206,0.004163008124897686,-0.012119186159646873,0.017683628657614612,0.274,0.0009478672985781993,-0.006161137440758293,0.0056737588652482265,0.491,0.06,-0.12503289473684207,0.2083333333333332,0.231,,
architecture,label_v1_strict_ab_primary,MLP_M10,GCN_M10,M10,0.26876232917409393,0.1469804573729713,0.40994906664978564,0.0,0.008423213802228855,0.0029741523530894733,0.020858947765501235,0.0,0.025184171676800142,0.002116402116402116,0.05430368004877084,0.0165,0.011848341232227487,0.002836712163789643,0.0236980896308721,0.002,0.42,0.16921875,0.6625164473684211,0.0,,
architecture,label_v1_strict_ab_primary,MLP_M10,GAT_M10,M10,0.24036898395721928,0.13783396087122649,0.3392594167078896,0.0005,0.007805031993976709,0.0028985188212976598,0.01921319267799984,0.0005,0.02400770108856485,0.0009693336331854491,0.05301810854169403,0.02,0.009952606635071089,0.002364066193853428,0.019431279620853077,0.001,0.34,0.12630075187969922,0.5499999999999999,0.002,,
architecture,label_v1_strict_ab_primary,MLP_M10,SAGE_M10,M10,0.07493820558526443,0.00676210118036518,0.15388400536111368,0.0095,0.002702158825218983,0.0006113454639990031,0.006967808007755877,0.005,0.005064907143388673,-0.009078955297895121,0.022014391696724315,0.268,0.002369668246445496,0.0,0.006175771971496437,0.034,0.09999999999999998,0.0,0.231578947368421,0.039,,
architecture,label_v1_strict_ab_primary,MLP_M10,RGCN_M10,M10,0.12988413547237077,0.05493669980067752,0.2078019904835625,0.0,0.003179230644046677,-0.0043541871436545265,0.010685827287020316,0.1425,0.007252396068005901,-0.01741608193119357,0.0347009965138861,0.3345,0.002369668246445496,-0.0009478672985781984,0.008510638297872339,0.107,0.13,0.031989473684210554,0.22666666666666674,0.004,,
architecture,label_v1_strict_ab_primary,MLP_M11,GCN_M11,M11,0.18902911467617356,0.10241563627551885,0.28688249565564683,0.0,0.006590403437104997,0.0012509022353365293,0.021314857283138065,0.006,0.014519478674960996,0.0011048962756647336,0.038931205972644864,0.0205,0.01090047393364929,0.0014218009478672987,0.0221711215932914,0.0115,0.26000000000000006,0.028538961038960996,0.46672413793103423,0.0165,,
architecture,label_v1_strict_ab_primary,MLP_M11,GAT_M11,M11,0.22047177658942374,0.12199832597722728,0.32342601545387567,0.0005,0.006994039626645281,0.0016634708570031564,0.021695777886315024,0.006,0.008546900052341266,-0.009684127437935008,0.034428927193112226,0.2345,0.01232227488151659,0.0018957345971564003,0.02364066193853428,0.0045,0.23000000000000004,0.03843750000000004,0.44446969696969685,0.014,,
