family,label,left,right,mean_delta_auc,sd_delta_auc,paired_t_p,exact_signflip_p,positive_seed_differences,n_pairs
architecture,label_v1_strict_ab_primary,MLP_M5,GCN_M5,0.17967914438502675,0.06289855719544489,0.0030828897591429548,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M5,GAT_M5,0.167739156268568,0.05036256520967482,0.0017363125906896522,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M5,SAGE_M5,0.07116458704694002,0.021657373782939488,0.001827112628097569,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M5,RGCN_M5,0.11232917409387999,0.04256720736293499,0.0041271196139671265,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M10,GCN_M10,0.2687623291740938,0.05746851534171444,0.00047253628608660673,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M10,GAT_M10,0.24036898395721923,0.06689667305330316,0.0013023999543495051,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M10,SAGE_M10,0.0749382055852644,0.021901526031822476,0.0015681403448748806,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M10,RGCN_M10,0.12988413547237074,0.03622024678936433,0.001312355180429728,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M11,GCN_M11,0.1890291146761735,0.06518820001223515,0.0029165104867064106,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M11,GAT_M11,0.22047177658942366,0.030044457038131144,8.075679773544439e-05,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M11,SAGE_M11,0.07194414735591215,0.030420675133602755,0.006135768971946936,0.0625,5,5
architecture,label_v1_strict_ab_primary,MLP_M11,RGCN_M11,0.11608556149732621,0.03687046035599434,0.0021455771160998876,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,MLP_M10,MLP_M5,0.0825935828877005,0.02162031804696184,0.0010308659725636279,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,MLP_M11,MLP_M5,0.07247890671420085,0.021724739206600032,0.0017253218108174398,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,MLP_M11,MLP_M10,-0.010114676173499638,0.016538064933145122,0.24324597024289338,0.1875,1,5
audit_ablation,label_v1_strict_ab_primary,MLP_M11,MLP_M11_NOAUDIT,0.05087462863933456,0.014774381122346691,0.0015308053916592702,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,GCN_M10,GCN_M5,-0.0064896019013666265,0.08135492402302813,0.8671026593856742,1.0,4,5
neural_modality,label_v1_strict_ab_primary,GCN_M11,GCN_M5,0.0631289364230541,0.021802604433112556,0.00293248511897997,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,GCN_M11,GCN_M10,0.06961853832442073,0.08448510093910189,0.1391790631062737,0.0625,5,5
audit_ablation,label_v1_strict_ab_primary,GCN_M11,GCN_M11_NOAUDIT,0.08266428995840762,0.06203448920019257,0.04075174719434835,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,GAT_M10,GAT_M5,0.009963755199049285,0.07582684969587304,0.783508806923698,0.6875,4,5
neural_modality,label_v1_strict_ab_primary,GAT_M11,GAT_M5,0.01974628639334519,0.037156226589657386,0.3004336198757548,0.3125,4,5
neural_modality,label_v1_strict_ab_primary,GAT_M11,GAT_M10,0.009782531194295906,0.045242764738241674,0.6540226642529683,0.75,2,5
audit_ablation,label_v1_strict_ab_primary,GAT_M11,GAT_M11_NOAUDIT,0.011689839572192518,0.023274327409763432,0.32424617617719415,0.3125,4,5
neural_modality,label_v1_strict_ab_primary,SAGE_M10,SAGE_M5,0.0788199643493761,0.037179625457853166,0.009034444756173593,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,SAGE_M11,SAGE_M5,0.07169934640522872,0.03795771907408637,0.013436944844751657,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,SAGE_M11,SAGE_M10,-0.007120617944147378,0.020506539165005607,0.48084108296463673,0.4375,2,5
audit_ablation,label_v1_strict_ab_primary,SAGE_M11,SAGE_M11_NOAUDIT,0.04245395127748062,0.019676492206773314,0.008494955369401437,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,RGCN_M10,RGCN_M5,0.06503862150920973,0.05285543968419142,0.05129627152169821,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,RGCN_M11,RGCN_M5,0.06872251931075464,0.03966732203252969,0.017933560165284,0.0625,5,5
neural_modality,label_v1_strict_ab_primary,RGCN_M11,RGCN_M10,0.0036838978015448997,0.03039665322499217,0.7998020839296428,0.75,2,5
audit_ablation,label_v1_strict_ab_primary,RGCN_M11,RGCN_M11_NOAUDIT,0.02771004159239454,0.04039736248158983,0.19985949030114303,0.1875,4,5
label_robustness_architecture,label_v1_strict_aonly_sensitivity,AONLY_MLP_M11,AONLY_GCN_M11,0.1785095537417519,0.023869842766363624,7.493421112700116e-05,0.0625,5,5
label_robustness_architecture,label_v1_strict_aonly_sensitivity,AONLY_MLP_M11,AONLY_GAT_M11,0.21811864777809048,0.026173126976944214,4.881692662448999e-05,0.0625,5,5
label_robustness_architecture,label_v1_strict_aonly_sensitivity,AONLY_MLP_M11,AONLY_SAGE_M11,0.09613847452856739,0.034250221711725586,0.0032895470073530473,0.0625,5,5
label_robustness_architecture,label_v1_strict_aonly_sensitivity,AONLY_MLP_M11,AONLY_RGCN_M11,0.16829095912687242,0.05311300208666629,0.0020950203503901418,0.0625,5,5
label_robustness_architecture,label_v1_loose_ab_sensitivity,LOOSE_MLP_M11,LOOSE_GCN_M11,0.15281359658394283,0.031109234076933865,0.0003903871920700781,0.0625,5,5
label_robustness_architecture,label_v1_loose_ab_sensitivity,LOOSE_MLP_M11,LOOSE_GAT_M11,0.17326766160740706,0.03650792258454333,0.00044628225829497595,0.0625,5,5
label_robustness_architecture,label_v1_loose_ab_sensitivity,LOOSE_MLP_M11,LOOSE_SAGE_M11,0.05679002855682345,0.03882821161015306,0.030775640222801742,0.0625,5,5
label_robustness_architecture,label_v1_loose_ab_sensitivity,LOOSE_MLP_M11,LOOSE_RGCN_M11,0.06166621185857646,0.02859991943352192,0.008514736700836308,0.0625,5,5
