scenario,model,modal,seed,primary_auc,sensitivity_auc,delta_auc
asof,MLP,M11,42,0.8377183600713012,0.8391859774212715,0.0014676173499703626
asof,MLP,M11,123,0.8125252525252524,0.8054486036838978,-0.007076648841354616
asof,MLP,M11,456,0.8422162804515746,0.8404693998811645,-0.0017468805704100587
asof,MLP,M11,789,0.825103980986334,0.8294533571004159,0.0043493761140819265
asof,MLP,M11,1024,0.8418775995246583,0.8433808674985145,0.0015032679738561372
asof,RandomForest,M11,42,0.8563963161021984,0.9041681521093288,0.04777183600713042
asof,RandomForest,M11,123,0.8709744503862151,0.8931966726084374,0.022222222222222254
asof,RandomForest,M11,456,0.8632976827094474,0.907038027332145,0.0437403446226976
asof,RandomForest,M11,789,0.8672311348781938,0.9057040998217468,0.03847296494355301
asof,RandomForest,M11,1024,0.8614438502673797,0.9145038621509208,0.05306001188354115
asof,RandomForest,M5,42,0.7779441473559121,0.8351039809863339,0.057159833630421764
asof,RandomForest,M5,123,0.792724301841949,0.8585502079619726,0.06582590612002359
asof,RandomForest,M5,456,0.778612596553773,0.8546880570409982,0.07607546048722513
asof,RandomForest,M5,789,0.7704604872251931,0.8733422459893049,0.10288175876411176
asof,RandomForest,M5,1024,0.7811229946524063,0.8220677361853833,0.040944741532977
fixed1095,GCN,M11,42,0.8058823529411765,0.7815389185977422,-0.024343434343434334
fixed1095,GCN,M11,123,0.8387462863933453,0.8106833036244802,-0.028062982768865097
fixed1095,GCN,M11,456,0.8199168152109328,0.7542543077837196,-0.06566250742721325
fixed1095,GCN,M11,789,0.823321449792038,0.7379857397504457,-0.08533571004159235
fixed1095,GCN,M11,1024,0.8027035056446821,0.7469162210338681,-0.05578728461081395
fixed1095,GraphSAGE,M11,42,0.810326797385621,0.7495424836601308,-0.0607843137254902
fixed1095,GraphSAGE,M11,123,0.8530005941770648,0.7230718954248365,-0.12992869875222823
fixed1095,GraphSAGE,M11,456,0.7982471776589424,0.6887581699346406,-0.10948900772430181
fixed1095,GraphSAGE,M11,789,0.80815210932858,0.7308793820558527,-0.07727272727272727
fixed1095,GraphSAGE,M11,1024,0.8169815805109923,0.7959893048128341,-0.020992275698158203
fixed1095,MLP,M11,42,0.8377183600713012,0.8362269756387404,-0.001491384432560805
fixed1095,MLP,M11,123,0.8125252525252524,0.8002317290552585,-0.012293523469993906
fixed1095,MLP,M11,456,0.8422162804515746,0.8336363636363637,-0.008579916815210864
fixed1095,MLP,M11,789,0.825103980986334,0.824896019013666,-0.00020796197266792493
fixed1095,MLP,M11,1024,0.8418775995246583,0.8159150326797385,-0.02596256684491982
fixed1095,RandomForest,M11,42,0.8563963161021984,0.7561734997029115,-0.10022281639928687
fixed1095,RandomForest,M11,123,0.8709744503862151,0.7861437908496732,-0.0848306595365419
fixed1095,RandomForest,M11,456,0.8632976827094474,0.7727658942364825,-0.09053178847296495
fixed1095,RandomForest,M11,789,0.8672311348781938,0.7959150326797385,-0.0713161021984553
fixed1095,RandomForest,M11,1024,0.8614438502673797,0.818972073677956,-0.04247177658942369
