scenario,model,modal,seed,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr,n,n_pos,best_val_auc,runtime_seconds
asof,MLP,M11,42,0.8391859774212715,0.011590197395975077,0.014184397163120567,0.016587677725118485,0.45,8435,20,0.8261246388774247,0.25365686416625977
asof,MLP,M11,123,0.8054486036838978,0.010148402561474425,0.017964071856287425,0.009478672985781991,0.4,8435,20,0.8207783051313797,0.18148112297058105
asof,MLP,M11,456,0.8404693998811645,0.010467322206309715,0.0,0.016587677725118485,0.45,8435,20,0.8111002201128079,0.2142021656036377
asof,MLP,M11,789,0.8294533571004159,0.011284836253260008,0.026845637583892617,0.011848341232227487,0.45,8435,20,0.8267437061494016,0.14841556549072266
asof,MLP,M11,1024,0.8433808674985145,0.011287653639323823,0.016,0.014218009478672985,0.5,8435,20,0.8170948548631173,0.2299344539642334
asof,MLP,M5,42,0.800718954248366,0.007170372296007723,0.014527845036319613,0.0071090047393364926,0.25,8435,20,0.8070487687439813,0.7654492855072021
asof,MLP,M5,123,0.7434818775995247,0.005793913389017011,0.0,0.004739336492890996,0.2,8435,20,0.7720164396753337,0.23330020904541016
asof,MLP,M5,456,0.7520023767082591,0.007123442819004438,0.0,0.009478672985781991,0.35,8435,20,0.7783687577383409,0.19819307327270508
asof,MLP,M5,789,0.7693107546048723,0.006430104272524701,0.013029315960912053,0.002369668246445498,0.35,8435,20,0.7938557573256295,0.2566955089569092
asof,MLP,M5,1024,0.7708793820558526,0.007063836401952055,0.0,0.0071090047393364926,0.35,8435,20,0.7751014582473518,0.22467255592346191
asof,RandomForest,M11,42,0.9041681521093287,0.03550713299406608,0.11235955056179775,0.023696682464454975,0.7,8435,20,0.9012587701196864,7.758578062057495
asof,RandomForest,M11,123,0.8931966726084374,0.028577977332251037,0.10526315789473684,0.02132701421800948,0.7,8435,20,0.8890081166597881,7.77499794960022
asof,RandomForest,M11,456,0.907038027332145,0.030091461840205936,0.07920792079207921,0.02132701421800948,0.65,8435,20,0.8995872884853487,7.773777008056641
asof,RandomForest,M11,789,0.9057040998217468,0.02829633842354945,0.09411764705882353,0.018957345971563982,0.65,8435,20,0.9062095886641905,7.669823169708252
asof,RandomForest,M11,1024,0.9145038621509209,0.028348496752421994,0.09876543209876543,0.02132701421800948,0.65,8435,20,0.8978934516439675,7.681246042251587
asof,RandomForest,M5,42,0.8351039809863339,0.03179271694051118,0.08163265306122448,0.018957345971563982,0.65,8435,20,0.8785407208694456,7.908066511154175
asof,RandomForest,M5,123,0.8585502079619726,0.03863038583388925,0.06802721088435375,0.02132701421800948,0.55,8435,20,0.8913072637226579,7.880320072174072
asof,RandomForest,M5,456,0.8546880570409982,0.03805212613376943,0.0847457627118644,0.018957345971563982,0.55,8435,20,0.8684602421240886,7.892155170440674
asof,RandomForest,M5,789,0.8733422459893049,0.0380919068159814,0.08064516129032258,0.02132701421800948,0.55,8435,20,0.8751857201815931,7.853735685348511
