condition,seed,archived_p5,stable_p5,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
primary__MLP__M5,42,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
primary__MLP__M5,123,0.004739336492890996,0.004739336492890996,8435,422,1,1,0,0.004739336492890996,0.004739336492890996
primary__MLP__M5,456,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
primary__MLP__M5,789,0.002369668246445498,0.002369668246445498,8435,422,1,1,0,0.002369668246445498,0.002369668246445498
primary__MLP__M5,1024,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
primary__MLP__M11,42,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
primary__MLP__M11,123,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
primary__MLP__M11,456,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
primary__MLP__M11,789,0.014218009478672985,0.014218009478672985,8435,422,1,1,0,0.014218009478672985,0.014218009478672985
primary__MLP__M11,1024,0.016587677725118485,0.016587677725118485,8435,422,1,1,0,0.016587677725118485,0.016587677725118485
primary__RandomForest__M5,42,0.0071090047393364926,0.0071090047393364926,8435,422,13,2,0,0.0071090047393364926,0.0071090047393364926
primary__RandomForest__M5,123,0.0071090047393364926,0.0071090047393364926,8435,422,12,6,0,0.0071090047393364926,0.0071090047393364926
primary__RandomForest__M5,456,0.009478672985781991,0.009478672985781991,8435,422,10,1,0,0.009478672985781991,0.009478672985781991
primary__RandomForest__M5,789,0.009478672985781991,0.009478672985781991,8435,422,20,19,0,0.009478672985781991,0.009478672985781991
primary__RandomForest__M5,1024,0.009478672985781991,0.009478672985781991,8435,422,17,16,0,0.009478672985781991,0.009478672985781991
primary__RandomForest__M11,42,0.016587677725118485,0.016587677725118485,8435,422,16,11,0,0.016587677725118485,0.016587677725118485
primary__RandomForest__M11,123,0.016587677725118485,0.016587677725118485,8435,422,11,7,0,0.016587677725118485,0.016587677725118485
primary__RandomForest__M11,456,0.016587677725118485,0.016587677725118485,8435,422,19,8,0,0.016587677725118485,0.016587677725118485
primary__RandomForest__M11,789,0.016587677725118485,0.016587677725118485,8435,422,15,4,0,0.016587677725118485,0.016587677725118485
primary__RandomForest__M11,1024,0.016587677725118485,0.016587677725118485,8435,422,10,1,0,0.016587677725118485,0.016587677725118485
primary__GCN__M11,42,0.009478672985781991,0.009478672985781991,8435,422,1,1,0,0.009478672985781991,0.009478672985781991
primary__GCN__M11,123,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
primary__GCN__M11,456,0.004739336492890996,0.004739336492890996,8435,422,1,1,0,0.004739336492890996,0.004739336492890996
primary__GCN__M11,789,0.004739336492890996,0.004739336492890996,8435,422,1,1,0,0.004739336492890996,0.004739336492890996
primary__GCN__M11,1024,0.002369668246445498,0.002369668246445498,8435,422,1,1,0,0.002369668246445498,0.002369668246445498
primary__SAGE__M11,42,0.0071090047393364926,0.0071090047393364926,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926
