left,right,resampling_scheme,metric,observed_delta,ci_low,ci_high,replicates,n,positives,company_clusters
asof__MLP__M11,primary__MLP__M11,company_only_fixed_fits,roc_auc,-0.00030065359477127185,-0.012617213320449452,0.010582692447844572,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_only_fixed_fits,ap,1.771680484912441e-05,-0.0027592306189374847,0.0012500627549492987,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_only_fixed_fits,f1_val_threshold,0.00047934264569912606,-0.00436119032934661,0.005182370371982396,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_only_fixed_fits,p_at_5pct,-0.0009478672985781995,-0.00190023752969121,0.0023584905660377353,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_only_fixed_fits,r_at_10fpr,0.009999999999999998,-0.06088628762541793,0.06666666666666665,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_only_fixed_fits,roc_auc,0.00786928104575164,-0.01001376839089826,0.026233705243021058,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_only_fixed_fits,ap,0.0002221551993460252,-0.0005892754984166915,0.0007902236661781757,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_only_fixed_fits,f1_val_threshold,-0.005718439982177,-0.011390618841520476,-0.0009921084718311369,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_only_fixed_fits,p_at_5pct,-0.00047393364928909976,-0.0014184397163120588,0.0014218009478672994,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_only_fixed_fits,r_at_10fpr,0.0,-0.05457070707070709,0.04285714285714287,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,roc_auc,0.041053475935828886,-0.011690982656092044,0.10610673772574493,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,ap,0.015404004301046072,0.003822304910235094,0.04938582884005102,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,f1_val_threshold,0.07142943974824714,0.007428610028647331,0.14930799479610063,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,p_at_5pct,0.004739336492890995,-0.0004728132387706846,0.012380952380952381,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,r_at_10fpr,0.21000000000000002,0.0,0.44667647058823523,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_only_fixed_fits,roc_auc,0.06857754010695191,0.022134729352123225,0.1180076314897164,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_only_fixed_fits,ap,0.024101350535843176,0.005718333784170216,0.07970981089045091,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_only_fixed_fits,f1_val_threshold,0.04469490961913266,0.00952832992356814,0.09047540625224124,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_only_fixed_fits,p_at_5pct,0.01090047393364929,0.002369668246445498,0.02232779097387173,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_only_fixed_fits,r_at_10fpr,0.2,-0.05834558823529413,0.48183155080213896,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_only_fixed_fits,roc_auc,-0.051838383838383864,-0.11269730804143006,-0.005354226167449859,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_only_fixed_fits,ap,-0.0008526266284221481,-0.004134566688848145,0.001249400134763152,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_only_fixed_fits,f1_val_threshold,-0.004828361643331179,-0.01522897644754853,0.0,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_only_fixed_fits,p_at_5pct,0.001421800947867298,-0.0018957345971563982,0.00619047619047619,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_only_fixed_fits,r_at_10fpr,-0.07999999999999999,-0.20019230769230786,0.08571428571428572,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_only_fixed_fits,roc_auc,-0.009707070707070687,-0.027169515923090547,0.005294228334923119,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_only_fixed_fits,ap,-0.0010492470933530767,-0.012210812336824358,0.001283733117019557,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_only_fixed_fits,f1_val_threshold,-0.012749567170536217,-0.037709648247897694,0.0005837272182812776,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_only_fixed_fits,p_at_5pct,-0.0023696682464454987,-0.006619385342789599,0.0014218009478672994,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_only_fixed_fits,r_at_10fpr,0.04,-0.031578947368420984,0.10000000000000003,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,roc_auc,-0.07787462863933454,-0.13433043251409166,-0.026083258216940554,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,ap,-0.001068960218784799,-0.012047312115750657,0.0037091893137601475,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,f1_val_threshold,-0.022667148086839554,-0.08446324996310398,0.010528644620400545,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,p_at_5pct,0.0028436018957345975,0.0,0.00855106888361045,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_only_fixed_fits,r_at_10fpr,0.029999999999999992,-0.07060924369747897,0.12503289473684198,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_only_fixed_fits,roc_auc,-0.07969340463458115,-0.15214815942407112,-0.021657804781025882,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_only_fixed_fits,ap,-0.0017235501307682713,-0.005916003537233155,0.0013776441043414924,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_only_fixed_fits,f1_val_threshold,-0.0011451398324727143,-0.01099456718469313,0.006605829843390774,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_only_fixed_fits,p_at_5pct,-0.0004739336492890989,-0.006200808625336925,0.004739336492890995,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_only_fixed_fits,r_at_10fpr,-0.05000000000000001,-0.17142857142857143,0.061562499999999874,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_only_fixed_fits,roc_auc,-0.07333452168746293,-0.1358744084051332,-0.011303747024440054,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_only_fixed_fits,ap,-0.01920859905723029,-0.061011107826434964,-0.0042010151250447755,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_only_fixed_fits,f1_val_threshold,-0.08294392036058043,-0.16454758556757057,-0.015632221957240407,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_only_fixed_fits,p_at_5pct,-0.007582938388625593,-0.019478594050446787,0.004772880783519023,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_only_fixed_fits,r_at_10fpr,-0.21999999999999992,-0.45834558823529414,0.0,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_only_fixed_fits,roc_auc,0.036187165775401084,-0.041367523645533914,0.11114452980078328,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_only_fixed_fits,ap,-0.0038025984356016215,-0.015905999983975207,0.0014294769087129298,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_only_fixed_fits,f1_val_threshold,-0.0020762423417290676,-0.011588205367363377,0.004821244160314718,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_only_fixed_fits,p_at_5pct,-0.007109004739336494,-0.0160377358490566,-0.00047505938242280166,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__RandomForest__M11,company_only_fixed_fits,r_at_10fpr,-0.009999999999999986,-0.18461538461538463,0.11764705882352938,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_only_fixed_fits,roc_auc,0.06430897207367792,-0.0021961075054586134,0.14066458854889266,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_only_fixed_fits,ap,0.004239348575567426,-0.000437437584003726,0.01455579929473714,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_only_fixed_fits,f1_val_threshold,0.009487389121213788,-0.001711403927712039,0.031613787789998064,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_only_fixed_fits,p_at_5pct,0.007582938388625592,-0.00047169811320754707,0.018397313662518396,2000,8435,20,4531
asof__MLP__M11,asof__MLP__M5,company_only_fixed_fits,r_at_10fpr,0.15000000000000002,-0.11764705882352938,0.4166847826086955,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_only_fixed_fits,roc_auc,0.056171717171717137,-0.002395491231403343,0.12789475407398762,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_only_fixed_fits,ap,-0.0059075688869708876,-0.04764888652774261,0.006534334148176881,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_only_fixed_fits,f1_val_threshold,0.016750765909869327,-0.008130849878985972,0.048259915356054776,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_only_fixed_fits,p_at_5pct,0.0018957345971563975,-0.0023752969121140135,0.0070921985815602835,2000,8435,20,4531
asof__RandomForest__M11,asof__RandomForest__M5,company_only_fixed_fits,r_at_10fpr,0.08999999999999997,-0.08237745098039224,0.30770833333333314,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_only_fixed_fits,roc_auc,0.055905525846702345,0.0027704274105301713,0.12181448134276508,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_only_fixed_fits,ap,0.00243950453643072,-0.001237788366944086,0.008014842773858008,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_only_fixed_fits,f1_val_threshold,-0.0019754068476351464,-0.010803555476097395,0.004375931445603553,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_only_fixed_fits,p_at_5pct,0.005213270142180096,-0.002843601895734597,0.012864352783366832,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__GCN__M11,company_only_fixed_fits,r_at_10fpr,0.09000000000000001,-0.078304347826087,0.26,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_only_fixed_fits,roc_auc,0.019718360071301254,-0.07507811635288064,0.12208289757823437,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_only_fixed_fits,ap,0.006242102972032341,-0.000756273733634221,0.02081610294509322,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_only_fixed_fits,f1_val_threshold,0.00010083549409392115,-0.010405417636322743,0.010909090909090908,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_only_fixed_fits,p_at_5pct,0.01232227488151659,0.0009500624781889183,0.024586288416075644,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_only_fixed_fits,r_at_10fpr,0.1,-0.07999999999999996,0.3222222222222222,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_only_fixed_fits,roc_auc,0.08453297682709449,0.018457219736933227,0.161213346201156,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_only_fixed_fits,ap,0.002466224286485433,-0.0013287193719690971,0.007648951350250342,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_only_fixed_fits,f1_val_threshold,-0.0029919932574799827,-0.01111111111111111,0.0036529680365296802,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_only_fixed_fits,p_at_5pct,0.0033175355450236962,-0.0028505259586019695,0.009952606635071085,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_only_fixed_fits,r_at_10fpr,0.09000000000000002,-0.04350241545893717,0.22000000000000003,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_only_fixed_fits,roc_auc,0.0483458110516934,-0.034821913553011986,0.14117490769754748,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_only_fixed_fits,ap,0.0062688227220870545,0.00020321347879147825,0.01922705046881114,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_only_fixed_fits,f1_val_threshold,-0.0009157509157509153,-0.007318195421218016,0.004388546981457915,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_only_fixed_fits,p_at_5pct,0.01042654028436019,0.0004728132387706854,0.020902612826603325,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_only_fixed_fits,r_at_10fpr,0.1,-0.041666666666666526,0.27623015873015844,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_x_matched_seed,roc_auc,-0.00030065359477127185,-0.013674422697102215,0.011266887369242909,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_x_matched_seed,ap,1.771680484912441e-05,-0.002729569926933974,0.0013232205668774612,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_x_matched_seed,f1_val_threshold,0.00047934264569912606,-0.012923482108620337,0.011735841285619308,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_x_matched_seed,p_at_5pct,-0.0009478672985781995,-0.002850356294536815,0.0033254156769596185,2000,8435,20,4531
asof__MLP__M11,primary__MLP__M11,company_x_matched_seed,r_at_10fpr,0.009999999999999998,-0.08891666666666674,0.09999999999999998,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_x_matched_seed,roc_auc,0.00786928104575164,-0.012461814426262744,0.028415531004507645,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_x_matched_seed,ap,0.0002221551993460252,-0.0006720694351950172,0.0008870860724526857,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_x_matched_seed,f1_val_threshold,-0.005718439982177,-0.01707367208131838,0.0007138811370935563,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_x_matched_seed,p_at_5pct,-0.00047393364928909976,-0.0018957345971563986,0.0019003506390679794,2000,8435,20,4531
asof__MLP__M5,primary__MLP__M5,company_x_matched_seed,r_at_10fpr,0.0,-0.07278409090909092,0.07500000000000001,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,roc_auc,0.041053475935828886,-0.012043871038322168,0.10735096042994285,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,ap,0.015404004301046072,0.0032201912209223536,0.050080450034834856,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,f1_val_threshold,0.07142943974824714,0.0,0.15439566007908476,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,p_at_5pct,0.004739336492890995,-0.00047505938242280177,0.012826603325415672,2000,8435,20,4531
asof__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,r_at_10fpr,0.21000000000000002,-0.008705533596837896,0.44999999999999996,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_x_matched_seed,roc_auc,0.06857754010695191,0.017281773111570777,0.12396512624897786,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_x_matched_seed,ap,0.024101350535843176,0.005747146499925924,0.08087554098498086,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_x_matched_seed,f1_val_threshold,0.04469490961913266,0.0011467113431990964,0.10082250389791649,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_x_matched_seed,p_at_5pct,0.01090047393364929,0.0023640661938534296,0.023167848699763596,2000,8435,20,4531
asof__RandomForest__M5,primary__RandomForest__M5,company_x_matched_seed,r_at_10fpr,0.2,-0.06673076923076922,0.5,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_x_matched_seed,roc_auc,-0.051838383838383864,-0.1257809536612851,0.0014231147207045805,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_x_matched_seed,ap,-0.0008526266284221481,-0.004327791473691727,0.0015026928762938865,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_x_matched_seed,f1_val_threshold,-0.004828361643331179,-0.019463519653583148,0.0,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_x_matched_seed,p_at_5pct,0.001421800947867298,-0.002850356294536816,0.00855106888361045,2000,8435,20,4531
fixed1095__GCN__M11,primary__GCN__M11,company_x_matched_seed,r_at_10fpr,-0.07999999999999999,-0.2428726708074535,0.09999999999999992,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_x_matched_seed,roc_auc,-0.009707070707070687,-0.03325140362503004,0.009379892358376808,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_x_matched_seed,ap,-0.0010492470933530767,-0.01176568287314537,0.001790499132127771,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_x_matched_seed,f1_val_threshold,-0.012749567170536217,-0.03874892183070931,0.001573778431520442,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_x_matched_seed,p_at_5pct,-0.0023696682464454987,-0.008491572028972546,0.002843601895734597,2000,8435,20,4531
fixed1095__MLP__M11,primary__MLP__M11,company_x_matched_seed,r_at_10fpr,0.04,-0.07278409090909083,0.13798275862068932,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,roc_auc,-0.07787462863933454,-0.14053878956065297,-0.023478497437994884,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,ap,-0.001068960218784799,-0.012875423717998324,0.004034739089665706,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,f1_val_threshold,-0.022667148086839554,-0.08916841859646195,0.014162452591656114,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,p_at_5pct,0.0028436018957345975,0.0,0.00947867298578199,2000,8435,20,4531
fixed1095__RandomForest__M11,primary__RandomForest__M11,company_x_matched_seed,r_at_10fpr,0.029999999999999992,-0.08571428571428569,0.13333333333333336,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,roc_auc,-0.07969340463458115,-0.16958458920651953,-0.013681058333371878,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,ap,-0.0017235501307682713,-0.006271965521140536,0.001436159393249848,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,f1_val_threshold,-0.0011451398324727143,-0.01504566767529392,0.011082313507934963,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,p_at_5pct,-0.0004739336492890989,-0.0075829383886255874,0.005687203791469194,2000,8435,20,4531
fixed1095__SAGE__M11,primary__SAGE__M11,company_x_matched_seed,r_at_10fpr,-0.05000000000000001,-0.2,0.07619047619047614,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,roc_auc,-0.07333452168746293,-0.13875972403235967,-0.008347240681844281,2000,8435,20,4531
asof__MLP__M11,asof__RandomForest__M11,company_x_matched_seed,ap,-0.01920859905723029,-0.06083930962407312,-0.004015138267455145,2000,8435,20,4531
