feature,comparable_finite,finite_match,finite_match_rate,all_row_compatible_rate,mismatch_rows,pearson_r,median_abs_diff,p95_abs_diff
fin_dsri_t0,49826,49775,0.9989764380042548,0.9989743589743589,53,0.9999999977157813,2.0458039762250024e-08,5.7972499190039883e-08
fin_dsri_t0_zind,44671,40072,0.8970473013812092,0.9110014513788098,4599,0.9999045321738426,7.243736471762574e-09,0.00033248436230487455
fin_dsri_t1,49450,49414,0.9992719919110212,0.9992646347363329,38,0.9999999997864466,2.0359689767435185e-08,5.7930765717806304e-08
fin_dsri_t1_zind,44279,41014,0.9262630140698751,0.9368166424770198,3265,0.9999813156944743,6.913145889075878e-09,0.00012379245348254902
fin_mscore_t0,49485,49372,0.9977164797413357,0.9977164973391388,118,1.0,4.608903347858018e-08,1.1510470159237228e-07
fin_mscore_t0_zind,44439,36344,0.8178401854227143,0.8432897919690373,8098,0.9996332322556496,8.320216016155513e-09,0.0003871344301489276
fin_mscore_t1,49079,48977,0.9979217180464149,0.9976003870343493,124,0.9999999999999982,4.541344433839356e-08,1.1495401661676396e-07
fin_mscore_t1_zind,44018,36319,0.8250942796128856,0.8506240928882438,7719,0.9996548963984403,7.732112283775905e-09,0.0010587858753318712
fin_ocf_to_ni_t0,50204,50173,0.9993825193211696,0.9994000967585873,31,0.9983476761066288,2.291585976532673e-08,2.2617357324783425e-07
fin_ocf_to_ni_t0_zind,44975,43023,0.956598110061145,0.9622254475084664,1952,0.9976842137607743,4.933842501220198e-09,5.029613654561275e-07
fin_ocf_to_ni_t1,50276,50224,0.9989657092847481,0.9989937106918239,52,0.9999991354034208,2.2540507516044528e-08,2.2312587955042318e-07
fin_ocf_to_ni_t1_zind,44969,40264,0.8953723676310347,0.9089501693275278,4705,0.9999691309544847,5.856830576078664e-09,3.216246860616584e-05
fin_oth_recv_to_ta_t0,49816,49788,0.9994379315882448,0.9994194484760522,30,0.998193293913029,1.0370247932947607e-10,1.4020178559781549e-09
fin_oth_recv_to_ta_t0_zind,44611,42286,0.9478828091726256,0.9549879051765844,2326,0.9994345181506779,7.83542547511118e-09,9.081452907233611e-06
fin_oth_recv_to_ta_t1,49590,49562,0.9994353700342811,0.9993613933236575,33,0.9998826411567762,1.0799372355575765e-10,1.4202578817873457e-09
fin_oth_recv_to_ta_t1_zind,44303,41618,0.9393946233889353,0.9479632317368166,2689,0.9993114137385638,8.322661448900703e-09,1.413898387276347e-05
fin_zscore_t0,50186,50129,0.9988642250826923,0.9988776003870343,58,0.9999998926957728,3.1888979457050937e-08,1.3511264596033357e-07
fin_zscore_t0_zind,44984,40969,0.9107460430375245,0.922302854378326,4015,0.9999986279901714,1.0240354397783591e-08,5.949837807793775e-05
fini_adminexp_of_gr_t0,47186,47020,0.9964820073750689,0.9967876149008225,166,0.9999999991270182,1.8157958958653353e-07,9.063720689539423e-07
fini_assets_to_eqt_t0,46825,46585,0.994874532835024,0.9952781809385582,244,0.9999318330950506,3.738403320241446e-08,1.3427734373294698e-07
fini_assets_to_eqt_t0_zind,42200,32356,0.7667298578199052,0.8094436381228834,9847,0.9997365334354222,1.2213740185895716e-08,0.0015264770009278863
fini_assets_to_eqt_t1,44602,44367,0.9947311779740818,0.9954136429608128,237,0.9999238426745566,3.719329844109609e-08,1.2664794901695586e-07
fini_assets_turn_t0,47195,46925,0.9942790549846382,0.9947363328495404,272,0.9998418732946889,9.155273428262944e-09,4.138946541054622e-08
fini_assets_turn_t0_zind,42361,32289,0.7622341304501782,0.8050507982583455,10074,0.9999352023905649,1.535974658573025e-08,0.0014408422991128988
