provider,table_or_endpoint,field,source_program,scope
CSMAR,STK_Violation_Main,DeclareDate,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,DisposalDate,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,ViolationYear,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,ViolationTypeID,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,Activity,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,PunishmentMeasure,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,Supervisor,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,Promulgator,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,CoFullName,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,ShortName,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,STK_Violation_Main,PunishmentTypeID,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,FIN_Audit,Stkcd,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,FIN_Audit,Accper,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,FIN_Audit,Audittyp,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,FIN_Audit,Tcost,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,FIN_Audit,Dadtunit,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,Symbol,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,DeclareDate,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,Ratio1,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,Ratio2,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,RelationtoCom,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,PledgeeCatergory,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,Pledgee,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,PLED_TRDDETL,ChangeReason,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,Stkcd,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,Reptdt,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,S0701a,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,S0701b,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,S0704a,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,S0704b,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,S0704c,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,HLD_Contrshr,Seperation,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Stkcd,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Reptdt,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Repart,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,RalatedPartyID,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Relation,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Direction,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Repat,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Kind,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
CSMAR,RPT_Operation,Isam,"code/label_construction or code/recovered_builders; historical_source_evidence/A0006,A0029 for pledge/RPT",retained source/export alias; original spelling preserved
