source_id,archive_basename,member_path,original_sha256,export_sha256,redacted_line_count,byte_reconstruction
A0001,ch7_patch_v1_2.tar.gz,ch7_patch_v1_2/align_with_p5.py,db36088376c1191eca61c5e3c22c2850bc0e7d71f2a9792813371f593e74ce2e,24ec830e9bd5720596e33490a9bfecebf135f10ba40d3e91a74efa5a7ed891f9,3,not_attempted_redacted
A0002,ch7_patch_v1_1.tar.gz,ch7_patch_v1_1/compute_graph_stats.py,7f037efd5431ee9714f1728b951cb25107a69cfe85da8c8ef702341d9b4369fc,081a4ff77068f4cbdfe7249f6e22124534c8ede48808d9dca187a082746a2032,0,exact_original_sha256_match
A0003,ch7_patch_v1_1.tar.gz,ch7_patch_v1_1/align_with_p5.py,44e96fcbe92b1a6cf580f2598d0e3d0f051bc877c46027fa9972426b87507cd5,a7de1fe46a74876c3280b75084ca3f43d3ec4240b4532b7d0a27a9777509ecac,0,exact_original_sha256_match
A0004,ch7_v1_patch_v3.tar.gz,ch7_v1_patch_v3/scripts/integrate_audit_features.py,f8070ccaf444e79ec8c2a34ab59a68498586666b504f8ac8733484faf5917a5b,c6767cb5c762657fb398e25cd49e599c50026c9b930acdaf705ac5e1396dde3c,0,exact_original_sha256_match
A0005,ch7_gnn_v0_1_patch.tar.gz,ch7_patch_v0_1/gnn_baseline_v0_1.py,45d8c6c281249cd3c8d0e98c3140a8fcdbba16a3ee89ec8fcd036eb5876ce335,afdae7abec6342e1fcc9ea0596ea7ad88d0e663258a44b60d58ba664656eb628,0,exact_original_sha256_match
A0006,ch7_v1_patch_2026_05_08.tar.gz,ch7_v1_patch_2026_05_08/scripts/integrate_pledge_features.py,3951596d33be6551002f2994becca1f757c67a2495027e0534f7ac7914b5ff23,e2a8fa9c8b3702aef65f86a04a9d5ba867e45a5f412f7e0a974f1f70f48d7e8b,1,not_attempted_redacted
A0007,ch7_v1_patch_2026_05_08.tar.gz,ch7_v1_patch_2026_05_08/scripts/integrate_controller_features.py,473b50f4754556dbf4e124c7979e592c39cfc8088b2f6bbd18b70503814decff,409662c044ed25a20b56a892c670c27d4cc6d61239bc614159d1c688d56cc074,0,exact_original_sha256_match
A0008,ch7_v1_patch_2026_05_08.tar.gz,ch7_v1_patch_2026_05_08/scripts/run_patch.sh,7ec81835fb7564ffc0fbd2d3e00e0f055ebf408e7beae0e1928db3016e518e42,9c57d5f234174b46ec0acbbe5260e28eb08ab4a7637738238198716516679394,0,exact_original_sha256_match
A0009,ch7_v1_patch_2026_05_08.tar.gz,ch7_v1_patch_2026_05_08/scripts/integrate_audit_features.py,4e23314d3ca61fc5c586437bceec4d096eaf6e5b315cedc0d5dbfcd1151a0619,e2f9350701d11c70513fc66a6507f1f4dfee2cf7a30988110d3270650ef687d4,0,exact_original_sha256_match
A0010,files (20).zip,_tushare_common.py,2e0e93d5619eaeb19321dde471e805d828fe687b815193fb6eed81e84aa4015d,0995a2bcbcf5e15462d4d133e98a59be349114bb2afcc17c3bf1f82607476613,1,not_attempted_redacted
